t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
0,HK.MHImain,2020-07-17 00:20:00,25137.0,25125.0,25140.0,25122.0,128,3216498.0,0.0,0.0,25140.0,0,,,,,,,,,,0.0,,0.0,,,25129.0,,,,0.0,0.0,1.0
1,HK.MHImain,2020-07-17 00:25:00,25121.0,25116.0,25123.0,25107.0,179,4495531.0,0.0,0.0,25125.0,0,,-0.00035820895522387097,,,,,,,,,,,,,25115.333333333332,,,,,0.0,1.0
2,HK.MHImain,2020-07-17 00:30:00,25118.0,25112.0,25124.0,25110.0,104,2612195.0,0.0,0.0,25116.0,0,,-0.00015926102882624082,,,,,,,,,,,,,25115.333333333332,,,,,0.0,1.0
3,HK.MHImain,2020-07-17 00:35:00,25113.0,25129.0,25134.0,25113.0,75,1884409.0,0.0,0.0,25112.0,0,,0.0006769671870021643,,,,,,,,,,,,,25125.333333333332,,,,,0.0,1.0
4,HK.MHImain,2020-07-17 00:40:00,25130.0,25131.0,25136.0,25128.0,110,2764457.0,0.0,0.0,25129.0,0,,7.958931911344891e-05,25122.6,,,,,,,0.0,0.0,0.0,,,25131.666666666668,,,,,0.0,1.0
5,HK.MHImain,2020-07-17 00:45:00,25131.0,25135.0,25141.0,25131.0,51,1281978.0,0.0,0.0,25131.0,0,,0.00015916597031551127,25124.6,,,,,,,0.0,0.0,0.0,,,25135.666666666668,,,,,0.0,1.0
6,HK.MHImain,2020-07-17 00:50:00,25137.0,25128.0,25137.0,25127.0,37,929924.0,0.0,0.0,25135.0,0,,-0.0002784961209468806,25127.0,,,,,,,0.0,0.0,0.0,,,25130.666666666668,,,,,0.0,1.0
7,HK.MHImain,2020-07-17 00:55:00,25127.0,25129.0,25132.0,25125.0,32,804089.0,0.0,0.0,25128.0,0,,3.9796243234579975e-05,25130.4,,,,,,,0.0,0.0,0.0,,,25128.666666666668,,,,,0.0,1.0
8,HK.MHImain,2020-07-17 01:00:00,25130.0,25109.0,25131.0,25097.0,192,4821249.0,0.0,0.0,25129.0,0,,-0.0007958931911337119,25126.4,,,,,,,0.0,0.0,0.0,,,25112.333333333332,,,,,0.0,1.0
9,HK.MHImain,2020-07-17 01:05:00,25107.0,25119.0,25127.0,25105.0,92,2310710.0,0.0,0.0,25109.0,0,,0.00039826357083128094,25124.0,25123.3,,,,,,0.0,0.0,0.0,,,25117.0,,,,,0.0,1.0
10,HK.MHImain,2020-07-17 01:10:00,25120.0,25124.0,25128.0,25120.0,28,703452.0,0.0,0.0,25119.0,0,,0.00019905251005214453,25121.8,25123.2,,,,,,0.0,0.0,0.0,,,25124.0,,,,,0.0,1.0
11,HK.MHImain,2020-07-17 01:15:00,25124.0,25138.0,25139.0,25121.0,72,1809338.0,0.0,0.0,25124.0,0,,0.0005572361088999056,25123.8,25125.4,,,,,,0.0,0.0,0.0,,,25132.666666666668,,,,,0.0,1.0
12,HK.MHImain,2020-07-17 01:20:00,25136.0,25131.0,25140.0,25128.0,52,1306907.0,0.0,0.0,25138.0,0,,-0.00027846288487554105,25124.2,25127.3,,,,,,0.0,0.0,0.0,77.27272727272727,63.88888888888889,25133.0,,,,,0.0,1.0
13,HK.MHImain,2020-07-17 01:25:00,25131.0,25122.0,25131.0,25118.0,43,1080311.0,0.0,0.0,25131.0,0,,-0.0003581234332099559,25126.8,25126.6,,,,,,0.0,0.0,0.0,75.75757575757575,73.73737373737374,25123.666666666668,,,,,0.0,1.0
14,HK.MHImain,2020-07-17 01:30:00,25124.0,25119.0,25126.0,25119.0,49,1231041.0,0.0,0.0,25122.0,0,,-0.0001194172438500063,25126.8,25125.4,,,,,,0.0,0.0,0.0,61.751233262861156,71.59384543105473,25121.333333333332,,,,,0.0,1.0
15,HK.MHImain,2020-07-17 01:35:00,25118.0,25104.0,25118.0,25104.0,93,2335214.0,0.0,0.0,25119.0,0,,-0.0005971575301564336,25122.8,25122.3,,,,,,0.0,0.0,0.0,41.420014094432695,59.64294103828987,25108.666666666668,,,,,0.0,1.0
16,HK.MHImain,2020-07-17 01:40:00,25104.0,25086.0,25105.0,25080.0,187,4691867.0,0.0,0.0,25104.0,0,,-0.0007170172084129955,25112.4,25118.1,,,,,,0.0,0.0,0.0,25.81395348837209,42.99506694855531,25090.333333333332,,,,,0.0,1.0
17,HK.MHImain,2020-07-17 01:45:00,25087.0,25102.0,25102.0,25087.0,60,1505771.0,0.0,0.0,25086.0,0,,0.0006378059475404818,25106.6,25115.4,,,,,,0.0,0.0,0.0,20.98191214470284,29.40529324250254,25097.0,,,,,0.0,1.0
18,HK.MHImain,2020-07-17 01:50:00,25103.0,25110.0,25113.0,25098.0,57,1431077.0,0.0,0.0,25102.0,0,,0.0003186997052027074,25104.2,25115.5,,,,,,0.0,0.0,0.0,32.22222222222222,26.339362618432386,25107.0,,,,,0.0,1.0
19,HK.MHImain,2020-07-17 01:55:00,25109.0,25108.0,25116.0,25103.0,27,677959.0,0.0,0.0,25110.0,0,,-7.964954201511443e-05,25102.0,25114.4,25118.85,,,,,0.0,0.0,0.0,44.444444444444436,32.549526270456504,25109.0,25119.383333333335,10.245000000000255,-67.56683477035806,,0.0,1.0
20,HK.MHImain,2020-07-17 02:00:00,25113.0,25101.0,25113.0,25097.0,70,1757221.0,0.0,0.0,25108.0,0,,-0.00027879560299504114,25101.4,25112.1,25117.65,,,,,0.0,0.0,0.0,43.88888888888888,40.18518518518518,25103.666666666668,25118.11666666667,10.550000000000363,-91.3112164297013,0.0,-0.0,1.0
