t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
22,HK.MHImain,2018-08-14 00:00:00,27878.0,27636.0,28021.0,27445.0,94055,2601644037.0,0.0,0.0,27873.0,-1,-1.0,-0.008502852222580959,28099.2,27993.1,28229.65,,,,,0.0,0.0,0.0,34.312728171585015,50.997408747116545,27700.666666666668,28250.966666666667,305.3333333333332,-120.1528384279475,-1.0,-0.0,1.0
27,HK.MHImain,2018-08-21 00:00:00,27514.0,27630.0,27700.0,27432.0,75672,2085056722.0,0.0,0.0,27520.0,0,1.0,0.003997093023255793,27310.2,27704.7,27996.9,,,,,0.0,0.0,0.0,38.9578163771712,28.161836809306795,27587.333333333332,28019.866666666676,490.2333333333334,-58.8200630085461,1.0,-0.003997093023255793,1.0037329840132085
32,HK.MHImain,2018-08-28 00:00:00,28255.0,28292.0,28549.0,28201.0,67734,1918400345.0,0.0,0.0,28254.0,1,1.0,0.0013449423090536872,27937.8,27624.0,27808.55,,,,,0.0,0.0,0.0,84.68496224985522,75.62619259247076,28347.333333333332,27812.850000000006,329.26833333333377,108.2163652407764,1.0,0.0,0.9997209699055977
34,HK.MHImain,2018-08-30 00:00:00,28335.0,28240.0,28573.0,28228.0,14624,413897444.0,0.0,0.0,28345.0,0,-1.0,-0.0037043570294584827,28144.4,27856.1,27843.2,,,,,0.0,0.0,0.0,84.90383300096528,86.87357759009124,28347.0,27835.050000000007,353.68833333333384,96.49738705922685,-1.0,-0.0037043570294584827,1.0015937682728038
39,HK.MHImain,2018-09-06 00:00:00,27112.0,26985.0,27223.0,26768.0,105231,2839423736.0,0.0,0.0,27100.0,-1,-1.0,-0.004243542435424352,27473.8,27809.1,27696.05,,-508.508847041081,-250.7243733755451,-515.5689473310719,0.0,0.0,0.0,16.973639108521944,21.31534400200307,26992.0,27710.11666666667,332.6833333333332,-143.90394602808857,-1.0,-0.0,0.9978835073566406
44,HK.MHImain,2018-09-13 00:00:00,26333.0,26989.0,27041.0,26223.0,125911,3356398835.0,0.0,0.0,26346.0,0,1.0,0.024405981932741128,26623.8,27048.8,27452.45,,-842.3337871572476,-789.3991678841767,-105.86923854614179,0.0,0.0,0.0,22.313977064453837,13.604147980618626,26751.0,27438.416666666668,517.875,-88.49196770992587,1.0,-0.024405981932741128,1.0218425257150305
58,HK.MHImain,2018-10-05 00:00:00,26571.0,26455.0,26637.0,26243.0,107154,2832393170.0,0.0,0.0,26565.0,-1,-1.0,-0.0041407867494823725,26987.4,27336.4,27101.6,,-532.4395348447761,-294.8144628794931,-475.25014393056597,21.993973371156443,0.0,0.0,10.807489978200858,23.44671104142368,26445.0,27102.783333333344,405.62833333333435,-108.1093666752967,-1.0,-0.0,0.9969034554943229
71,HK.MHImain,2018-10-25 00:00:00,25204.0,24897.0,25408.0,24601.0,129414,3214442484.0,0.0,0.0,25209.0,-2,-1.0,-0.012376532190884193,25406.4,25405.6,26146.5,27100.6,-1139.894789259004,-1077.5949834022113,-124.59961171358555,1077.5949834022113,0.0,0.0,17.26075352557496,31.317736543773805,24968.666666666668,26208.06666666666,757.8466666666648,-109.02821151156292,-1.0,0.012376532190884193,1.0422393427448977
76,HK.MHImain,2018-11-01 00:00:00,24929.0,25340.0,25516.0,24858.0,119759,3018431270.0,0.0,0.0,24910.0,-1,1.0,0.01726214371738255,24879.6,25143.0,25492.4,26846.116666666665,-993.97735743269,-1129.7309408045028,271.5071667436255,1077.5949834022113,0.0,0.0,30.35107587768964,21.13735429372981,25238.0,25538.433333333327,458.8299999999981,-43.65209094629504,1.0,-0.0345242874347651,1.0534995406849184
78,HK.MHImain,2018-11-05 00:00:00,26496.0,25902.0,26759.0,25719.0,140559,3661754490.0,0.0,0.0,26498.0,0,1.0,-0.022492263567061688,25474.6,25223.9,25461.4,26778.783333333333,-400.91367098784394,-754.5261459768892,707.2249499780905,1077.5949834022113,0.0,0.0,70.89097636752334,53.262189533873645,26126.666666666668,25490.766666666656,402.70999999999896,105.27012821468121,1.0,0.022492263567061688,0.970646985379199
79,HK.MHImain,2018-11-06 00:00:00,25883.0,26039.0,26166.0,25798.0,112051,2902745783.0,0.0,0.0,25902.0,-1,-1.0,0.0052891668597019326,25737.8,25294.3,25456.1,26737.25,-271.3016710474949,-593.4513210004245,644.2992999058592,1077.5949834022113,0.0,0.0,77.1032262731481,68.84623966569312,26001.0,25473.383333333324,384.55,91.46910530345873,-1.0,0.0,0.9924790332049218
80,HK.MHImain,2018-11-07 00:00:00,26018.0,26151.0,26524.0,25861.0,145727,3802197680.0,0.0,0.0,26039.0,0,1.0,0.004301240447021737,25986.0,25388.5,25460.4,26702.8,-153.5588993989877,-446.8205137999456,586.5232288019158,1077.5949834022113,0.0,0.0,68.38831018518513,72.12750427528549,26178.666666666668,25475.983333333323,387.15,121.00104754115033,1.0,-0.004301240447021737,0.9924790332049218
82,HK.MHImain,2018-11-09 00:00:00,26225.0,25466.0,26228.0,25407.0,103500,2659244849.0,0.0,0.0,26224.0,-1,-1.0,-0.028904820012202515,25956.4,25601.9,25477.05,26639.15,-204.580873558265,-279.29231967370606,149.4228922308821,1077.5949834022113,0.0,0.0,64.60139724653531,68.67886081057344,25700.333333333332,25491.09999999999,403.07666666666574,34.606044066611204,-1.0,-0.0,0.9882101422444798
94,HK.MHImain,2018-11-27 00:00:00,26421.0,26256.0,26512.0,26138.0,95815,2517640089.0,0.0,0.0,26415.0,0,1.0,-0.006019307211811431,26078.8,26019.2,25906.0,26285.233333333334,127.06662026472986,34.326579245187894,185.48008203908392,1077.5949834022113,0.0,0.0,80.15459501837195,74.28325087226473,26302.0,25871.86666666666,285.1066666666682,100.57834104974427,1.0,0.006019307211811431,0.9513175414487408
101,HK.MHImain,2018-12-06 00:00:00,26780.0,26158.0,26905.0,26006.0,98312,2570448977.0,0.0,0.0,26766.0,-1,-1.0,-0.02271538519016658,26803.4,26579.4,26214.05,26224.916666666668,370.37938570194456,456.888844656154,-173.01891790841887,1077.5949834022113,0.0,0.0,61.76310308145748,79.03333794710785,26356.333333333332,26196.216666666653,399.38333333333355,26.727315722852637,-1.0,-0.0,0.9570438139867058
104,HK.MHImain,2018-12-11 00:00:00,25732.0,25721.0,25861.0,25402.0,97399,2499138246.0,0.0,0.0,25710.0,-2,-1.0,0.0004278490859588313,26086.6,26473.4,26246.3,26189.333333333332,-148.8086999248153,111.26547074920015,-520.148341348031,1077.5949834022113,0.0,0.0,14.359794758033198,22.311318820220137,25661.333333333332,26235.83333333332,365.5999999999978,-104.75929978118026,-1.0,-0.0004278490859588313,0.9735174160300653
105,HK.MHImain,2018-12-12 00:00:00,25716.0,26237.0,26274.0,25711.0,92250,2401889574.0,0.0,0.0,25721.0,-1,1.0,0.020061428404805515,25980.8,26435.3,26280.25,26172.5,-85.69288327305549,45.61268607511494,-262.61113869634084,1077.5949834022113,0.0,0.0,22.976925573702214,18.142027387609346,26074.0,26256.53333333332,349.03999999999724,-34.86388061221632,1.0,-0.04012285680961103,0.9731008974934517
111,HK.MHImain,2018-12-20 00:00:00,25918.0,25537.0,26090.0,25373.0,104398,2672924188.0,0.0,0.0,25924.0,-2,-1.0,-0.014928251812991844,25878.8,25966.7,26273.05,26034.833333333332,-279.80669505848346,-150.24005415429102,-259.1332818083849,1077.5949834022113,0.0,0.0,27.804541197456228,31.75030324924667,25666.666666666668,26276.649999999983,351.7816666666651,-115.59884840186253,-1.0,0.014928251812991844,0.9447846873651408
116,HK.MHImain,2018-12-31 00:00:00,25580.0,25857.0,25993.0,25550.0,58286,1497571304.0,0.0,0.0,25504.0,-1,1.0,0.01384096612296104,25610.8,25744.8,26086.9,25877.733333333334,-323.44260093363846,-337.15817307203986,27.431144276802797,1077.5949834022113,0.0,0.0,30.704053802819868,22.732533388120952,25800.0,26096.09999999998,402.72999999999394,-49.01546942119779,1.0,-0.02768193224592208,0.9610074386691896
117,HK.MHImain,2019-01-02 00:00:00,25863.0,24979.0,25879.0,24979.0,89934,2267576499.0,0.0,0.0,25857.0,-2,-1.0,-0.03395598870711991,25474.2,25639.0,26009.05,25851.3,-498.5083287506095,-390.9415582982297,-215.13354090475957,1077.5949834022113,0.0,0.0,28.380821479587542,25.66923819108114,25279.0,26033.566666666644,408.4233333333308,-123.16741072035529,-1.0,0.03395598870711991,0.934404895864122
119,HK.MHImain,2019-01-04 00:00:00,25042.0,25604.0,25658.0,24889.0,112331,2833866510.0,0.0,0.0,25050.0,-1,1.0,0.022115768463073948,25398.8,25514.8,25813.9,25818.866666666665,-466.32717255334137,-458.0344256896661,-16.58549372735058,1077.5949834022113,0.0,0.0,24.766611751784637,26.321272743034267,25383.666666666668,25846.183333333305,338.31666666666626,-91.14077869188391,1.0,-0.044231536926147896,0.9606412859687025
122,HK.MHImain,2019-01-09 00:00:00,25908.0,26521.0,26651.0,25908.0,95422,2511539969.0,0.0,0.0,25906.0,0,1.0,0.023739674206747496,25788.8,25631.5,25778.3,25833.333333333332,45.165857961656,-211.85363961455414,514.0389951524203,1077.5949834022113,0.0,0.0,85.9561738434977,70.90702820939252,26360.0,25782.94999999998,276.7883333333351,138.98707195029112,1.0,-0.023739674206747496,0.9073519126113098
134,HK.MHImain,2019-01-25 00:00:00,27096.0,27610.0,27618.0,27096.0,86517,2365795113.0,0.0,0.0,27092.0,1,1.0,0.019120035434814664,27187.6,26976.9,26411.1,26165.45,777.6005736972547,676.5682810394629,202.0645853155836,1077.5949834022113,0.0,0.0,81.90068784919325,76.975563284512,27441.333333333332,26377.58333333332,594.0666666666688,119.37492986196915,1.0,0.0,0.885811673815048
141,HK.MHImain,2019-02-08 00:00:00,27670.0,27948.0,27960.0,27450.0,52772,1456851381.0,0.0,0.0,27835.0,0,-1.0,0.004059637147476147,27849.6,27607.0,27191.85,26387.35,942.5889165780245,918.7054238628737,47.7669854303017,1077.5949834022113,0.0,0.0,76.17415323519313,80.35717019226983,27786.0,27147.699999999993,444.00333333333276,95.84012132041161,-1.0,0.004059637147476147,0.8930303491721064
142,HK.MHImain,2019-02-11 00:00:00,27960.0,28128.0,28157.0,27758.0,73458,2047812986.0,0.0,0.0,27948.0,1,1.0,0.006440532417346434,27964.8,27720.8,27272.2,26431.716666666667,974.9125331397045,937.4411269551506,74.94281236910774,1077.5949834022113,0.0,0.0,82.3274685189432,80.17359944969184,28014.333333333332,27230.416666666664,450.4249999999996,116.02622214821832,1.0,0.0,0.8966557283514291
146,HK.MHImain,2019-02-15 00:00:00,28345.0,27866.0,28396.0,27781.0,95118,2662452442.0,0.0,0.0,28345.0,0,-1.0,-0.01689892397248194,28174.2,28011.9,27598.25,26594.05,888.7283049013349,962.5982491174237,-147.73988843217762,1077.5949834022113,0.0,0.0,72.11097333930788,83.71887477663773,28014.333333333332,27565.05,424.8499999999996,70.50069959332052,-1.0,-0.01689892397248194,0.9035731875754145
149,HK.MHImain,2019-02-20 00:00:00,28150.0,28504.0,28573.0,28039.0,86168,2443422033.0,0.0,0.0,28154.0,1,1.0,0.012431626056688128,28240.6,28164.6,27808.95,26707.366666666665,898.6726070979239,908.4951332468157,-19.64505229778365,1077.5949834022113,0.0,0.0,81.26950973030496,71.25845881684461,28372.0,27773.95,380.92666666666594,104.66581494250869,1.0,0.0,0.8883037729750044
155,HK.MHImain,2019-02-28 00:00:00,28735.0,28661.0,28913.0,28562.0,102381,2939483944.0,0.0,0.0,28863.0,0,-1.0,-0.006998579496240831,28791.0,28546.8,28264.4,26967.333333333332,932.1783070455895,978.409289800189,-92.46196550919899,1077.5949834022113,0.0,0.0,72.18473461490218,79.41230127998881,28712.0,28235.683333333338,353.1833333333332,89.9092381986055,-1.0,-0.006998579496240831,0.8994917134218899
157,HK.MHImain,2019-03-04 00:00:00,28748.0,28881.0,29255.0,28642.0,102777,2963934501.0,0.0,0.0,28736.0,1,1.0,0.005045935412026692,28774.6,28688.5,28389.3,27042.183333333334,881.1661846748357,925.5107022663865,-88.68903518310162,1077.5949834022113,0.0,0.0,66.02252547103323,69.40857409438946,28926.0,28366.050000000007,330.1883333333344,113.05668986891152,1.0,0.0,0.8931965491592969
