t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
39,HK.MHImain,2019-07-29,28388.0,28137.0,28427.0,27936.0,0.0,0.0,69813,1960693168.0,-0.8841764125686911,28388.0,-1,-1.0,-0.008841764125686935,28422.2,28497.2,28532.5,,270.533674620714,410.88639637762515,-280.7054435138223,0.0,0.0,0.0,36.23429147018488,48.64837755315082,28166.666666666668,28529.133333333324,168.3799999999992,-143.5113697852706,-1.0
66,HK.MHImain,2019-09-04,25471.0,26476.0,26633.0,25392.0,0.0,0.0,135435,3511865485.0,3.9701551148635383,25465.0,0,1.0,0.03970155114863538,25719.8,25759.6,25758.8,27280.083333333332,-509.91982748744704,-718.0048482412813,416.17004150766843,0.0,0.0,0.0,49.09686023023675,37.94069648412014,26167.0,25746.116666666654,260.2733333333308,107.80546946373045,1.0
85,HK.MHImain,2019-10-02,26058.0,25950.0,26088.0,25752.0,0.0,0.0,67720,1752730827.0,-0.36857866850956,26046.0,-1,-1.0,-0.00368578668509556,25974.8,26193.8,26502.15,26760.116666666665,-358.25707966931805,-291.003062986153,-134.5080333663301,0.0,0.0,0.0,22.286391153554025,15.671299249639262,25930.0,26504.63333333333,355.20000000000016,-107.85160160160119,-1.0
86,HK.MHImain,2019-10-03,25950.0,26144.0,26219.0,25675.0,0.0,0.0,89974,2328527488.0,0.7475915221579962,25950.0,0,1.0,0.007475915221579976,26022.6,26135.0,26485.55,26725.8,-308.2491850171864,-296.7517703298308,-22.99482937471123,0.0,0.0,0.0,35.76014835052004,25.190772414321852,26012.666666666668,26496.916666666664,362.9166666666668,-88.95522388059632,1.0
87,HK.MHImain,2019-10-04,26149.0,25783.0,26175.0,25566.0,0.0,0.0,108039,2798431340.0,-1.380813953488372,26144.0,-1,-1.0,-0.01380813953488369,25974.2,26064.9,26451.1,26681.266666666666,-371.3321923655276,-321.61191100839636,-99.44056271426246,0.0,0.0,0.0,32.881516041740674,30.309351848604877,25841.333333333332,26467.05,394.37833333333367,-105.77265767079271,-1.0
88,HK.MHImain,2019-10-08,25758.0,25872.0,26202.0,25624.0,0.0,0.0,106306,2750373483.0,0.34518869022223947,25783.0,0,1.0,0.003451886902222423,25959.0,26009.7,26415.35,26636.833333333332,-379.4523786151185,-340.89206687730376,-77.12062347562949,0.0,0.0,0.0,36.28299689440998,34.97488709555686,25899.333333333332,26431.183333333338,415.2833333333336,-85.37945980655866,1.0
89,HK.MHImain,2019-10-09,25875.0,25651.0,25882.0,25621.0,0.0,0.0,93079,2392906253.0,-0.8542053184910328,25872.0,-1,-1.0,-0.008542053184910303,25880.0,25961.9,26365.65,26589.05,-438.92708146458244,-373.57040507306334,-130.7133527830382,0.0,0.0,0.0,23.10800827423172,30.75750707012742,25718.0,26384.63333333334,435.39666666666744,-102.0729500812803,-1.0
90,HK.MHImain,2019-10-10,25677.0,25805.0,25843.0,25508.0,0.0,0.0,92826,2381251897.0,0.6003664574480527,25651.0,0,1.0,0.006003664574480538,25851.0,25912.9,26324.5,26542.066666666666,-425.46805952786235,-390.86962322466303,-69.19687260639864,0.0,0.0,0.0,29.497336684920885,29.629447284520825,25718.666666666668,26335.3,442.7933333333334,-92.83990022935174,1.0
95,HK.MHImain,2019-10-17,26620.0,26878.0,26987.0,26597.0,0.0,0.0,78187,2095836462.0,0.8933933933933933,26640.0,1,1.0,0.008933933933933824,26586.4,26218.7,26206.25,26379.25,221.21948709207936,18.23113113408911,405.9767119159805,0.0,0.0,0.0,89.3831857554955,88.57444492542754,26820.666666666668,26202.35000000001,297.05166666666776,138.76747965654823,1.0
99,HK.MHImain,2019-10-23,26779.0,26532.0,26871.0,26456.0,0.0,0.0,80135,2130779699.0,-0.9186645753977145,26778.0,0,-1.0,-0.009186645753977096,26710.8,26541.3,26251.6,26263.066666666666,222.52132626191087,200.79788888155937,43.446874760703,0.0,0.0,0.0,74.86795064006462,79.23584462168111,26619.666666666668,26243.00000000001,341.76666666666824,73.47443024805526,-1.0
107,HK.MHImain,2019-11-04,27128.0,27600.0,27608.0,27118.0,0.0,0.0,69629,1905959337.0,1.6874217080539384,27142.0,1,1.0,0.016874217080539378,27024.6,26879.2,26620.9,26284.366666666665,533.4207697397651,373.65664623689185,319.5282470057465,258.35685599341326,0.0,0.0,94.08498817237745,73.66150773557644,27442.0,26597.900000000005,303.72999999999865,185.27420186788675,1.0
112,HK.MHImain,2019-11-11,27645.0,27002.0,27721.0,26808.0,0.0,0.0,92388,2503046889.0,-2.4458976119079447,27679.0,0,-1.0,-0.024458976119079434,27580.6,27302.6,27003.15,26461.516666666666,559.0559798551767,638.2760516327635,-158.44014355517356,258.35685599341326,-1.0,0.0,67.50963391136806,82.9958114261156,27177.0,26994.950000000004,347.4633333333348,34.92934506278741,-1.0
115,HK.MHImain,2019-11-14,26487.0,26321.0,26624.0,26178.0,0.0,0.0,107825,2845321609.0,-0.6529780327621348,26494.0,-1,-1.0,-0.006529780327621304,26895.6,27244.2,26992.9,26490.65,-28.327261352962523,278.64349825597014,-613.9415192178653,258.35685599341326,0.0,0.0,13.847184852615001,27.67385630134561,26374.333333333332,27000.150000000012,344.34333333333814,-121.16137317728848,-1.0
117,HK.MHImain,2019-11-18,26284.0,26680.0,26704.0,26225.0,0.0,0.0,85380,2265300167.0,1.5104820606475668,26283.0,0,1.0,0.015104820606475666,26552.0,27066.3,26972.75,26503.616666666665,-137.20930684209452,41.508875346543206,-357.4363643772755,258.35685599341326,0.0,0.0,14.12429378531077,11.242875746969347,26536.333333333332,26971.75000000002,364.90000000000384,-79.54995280290153,1.0
128,HK.MHImain,2019-12-03,26492.0,26385.0,26500.0,26063.0,0.0,0.0,84344,2220093422.0,-0.39637599093997733,26490.0,-1,-1.0,-0.003963759909399789,26610.6,26693.1,26849.7,26658.65,-191.07696133238642,-90.75875972793368,-200.63640320890548,258.35685599341326,0.0,0.0,18.91472868217057,32.23617422269833,26316.0,26867.71666666668,344.4783333333324,-106.77336584626673,-1.0
131,HK.MHImain,2019-12-06,26246.0,26520.0,26555.0,26195.0,0.0,0.0,67472,1782494050.0,1.0632216760032012,26241.0,0,1.0,0.01063221676003212,26343.2,26589.8,26630.3,26633.066666666666,-267.68568050346585,-236.77016081561376,-61.831039375704165,258.35685599341326,0.0,0.0,25.1390996459282,21.47100610509226,26423.333333333332,26647.366666666687,261.67000000000263,-57.07782915717059,1.0
136,HK.MHImain,2019-12-13,27008.0,27706.0,27745.0,26916.0,0.0,0.0,91859,2521426639.0,2.588217869441256,27007.0,1,1.0,0.02588217869441256,26860.2,26601.7,26691.25,26622.65,292.31852148893813,10.879317958426384,562.8784070610235,258.35685599341326,0.0,0.0,87.6256324836066,70.36808756713606,27455.666666666668,26660.866666666687,269.5066666666713,196.60614456042336,1.0
143,HK.MHImain,2019-12-24,27862.0,27868.0,27921.0,27798.0,0.0,0.0,34037,948248318.0,0.02871500358937545,27860.0,0,-1.0,0.00028715003589385724,27877.0,27615.9,27049.4,26815.7,722.100441960436,671.093345174679,102.01419357151394,258.35685599341326,0.0,0.0,89.29004427997641,90.37015526949061,27862.333333333332,27032.466666666693,602.6600000000051,91.8004255209275,-1.0
144,HK.MHImain,2019-12-27,28020.0,28220.0,28258.0,28000.0,0.0,0.0,38061,1072517007.0,1.2630974594517008,27868.0,1,1.0,0.012630974594517008,27938.4,27772.6,27112.7,26851.933333333334,794.9693522780399,712.385347542466,165.1680094711478,258.35685599341326,0.0,0.0,90.15001254711935,89.7926713555632,28159.333333333332,27092.95000000003,660.9116666666696,107.56690463761396,1.0
146,HK.MHImain,2019-12-31,28415.0,28276.0,28465.0,28198.0,0.0,0.0,41380,1171879302.0,-0.5066854327938072,28420.0,0,-1.0,-0.005066854327938075,28128.8,27970.9,27286.3,26928.633333333335,879.9541115538523,805.8634534649506,148.1813161778034,258.35685599341326,0.0,0.0,86.65994912932632,89.17451179199843,28313.0,27256.616666666698,734.4216666666634,95.89253524503926,-1.0
