,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,Profit,SharpeRatio,Slippage,Symbol,Total Fee,slowKDParameters
0,"20,0.015,100",0.022181627121312664,0.5267857142857143,K_DAY,"5,35,5",0.1314865515552589,30,0.11999999999999744,0.20521356332158364,2650.0000000000564,HK.03988,318.0,"9,3,3"
0,"20,0.015,100",0.0007054280827094583,0.49645390070921985,K_DAY,"5,35,5",0.21770179525388345,40,0.2400000000000091,0.10455505785021277,1766.6666666665997,HK.03328,424.0,"9,3,3"
0,"20,0.015,100",0.27445727170074385,0.5460526315789473,K_DAY,"5,35,5",0.28818499094741834,30,5.760000000000048,0.9478637361221162,55.208333333332874,HK.02628,318.0,"9,3,3"
0,"20,0.015,100",0.04923350745041133,0.5172413793103449,K_DAY,"5,35,5",0.2223206208289411,40,2.394999999999982,0.313520670149002,177.03549060542932,HK.02388,424.0,"9,3,3"
0,"20,0.015,100",-0.2771751036227228,0.41964285714285715,K_DAY,"5,35,5",0.3829013436396177,41,-152.20000000000027,-0.6116735751579168,-2.855453350854134,HK.02382,434.59999999999997,"9,3,3"
0,"20,0.015,100",-0.13020207412865537,0.48514851485148514,K_DAY,"5,35,5",0.2011389898733521,46,-3.5529999999999973,-0.5128743305937044,-137.23613847452867,HK.02319,487.59999999999997,"9,3,3"
0,"20,0.015,100",0.020111755373352302,0.4351851851851852,K_DAY,"5,35,5",0.15171108232875874,33,80.43976999999995,0.1931459727701088,4.3485952284547835,HK.02318,349.8,"9,3,3"
0,"20,0.015,100",-0.253286666428155,0.47107438016528924,K_DAY,"5,35,5",0.2984799751758075,47,-116.94999999999982,-0.750487189659088,-4.259940145361272,HK.02313,498.2,"9,3,3"
0,"20,0.015,100",-0.11472335974284098,0.5,K_DAY,"5,35,5",0.38135405158560975,35,-57.40000000000009,-0.233120544568669,-6.463414634146331,HK.02018,371.0,"9,3,3"
0,"20,0.015,100",-0.1008988085183593,0.47023809523809523,K_DAY,"5,35,5",0.31259009928197523,34,0.010000000000047748,-0.15643983358546543,36039.99999982791,HK.02007,360.4,"9,3,3"
0,"20,0.015,100",0.20071466960815587,0.5533333333333333,K_DAY,"5,35,5",0.19928034259930616,36,9.550000000000068,0.6972210091437282,39.95811518324579,HK.01997,381.59999999999997,"9,3,3"
0,"20,0.015,100",0.049207444866402605,0.5263157894736842,K_DAY,"5,35,5",0.2396137783867266,45,35.01000000000022,0.2741895244634966,13.62467866323899,HK.01928,477.0,"9,3,3"
0,"20,0.015,100",0.09184897997817609,0.5537190082644629,K_DAY,"5,35,5",0.18605197234656012,33,5.359999999999999,0.6139716486574174,65.26119402985076,HK.01398,349.8,"9,3,3"
0,"20,0.015,100",0.06499986878215336,0.5253164556962026,K_DAY,"5,35,5",0.2495792557984028,30,9.43300000000022,0.3475703908525497,33.71143856673302,HK.01299,318.0,"9,3,3"
0,"20,0.015,100",-0.12230480762518303,0.488,K_DAY,"5,35,5",0.32953434384187585,40,-0.9399980999999968,-0.23348276719427682,-451.0647415138408,HK.01177,424.0,"9,3,3"
0,"20,0.015,100",-0.13747860194419037,0.5033557046979866,K_DAY,"5,35,5",0.3812003656726791,48,-2.2200000000000273,-0.28324023735374815,-229.18918918918635,HK.01113,508.79999999999995,"9,3,3"
0,"20,0.015,100",-0.09869114770736931,0.5324675324675324,K_DAY,"5,35,5",0.26790616455038707,32,-1.2740000000001146,-0.17612833653550636,-266.24803767658517,HK.01109,339.2,"9,3,3"
0,"20,0.015,100",-0.26812046793957034,0.5229357798165137,K_DAY,"5,35,5",0.31605159388144155,37,-16.776654999999977,-0.5958309923668725,-23.37772339003219,HK.01093,392.2,"9,3,3"
0,"20,0.015,100",-0.3715162834259559,0.4444444444444444,K_DAY,"5,35,5",0.427401399825176,50,-5.741289999999992,-2.1157019874577556,-92.31374830395272,HK.01088,530.0,"9,3,3"
0,"20,0.015,100",-0.03437306108188931,0.452991452991453,K_DAY,"5,35,5",0.17208453944791258,36,-1.1199699999999666,-0.046087710814291596,-340.7234122342664,HK.01044,381.59999999999997,"9,3,3"
0,"20,0.015,100",0.14775468322780871,0.5,K_DAY,"5,35,5",0.2959177397857733,47,50.029999999999745,0.5831680550956805,9.958025184889117,HK.01038,498.2,"9,3,3"
0,"20,0.015,100",0.006000787357299142,0.56,K_DAY,"5,35,5",0.2610435727186682,35,55.700000000000045,0.10801168983491778,6.6606822262118435,HK.00941,371.0,"9,3,3"
0,"20,0.015,100",-0.05911801996220323,0.4778761061946903,K_DAY,"5,35,5",0.1900848049494529,30,-0.21999999999998465,-0.24762929404578357,-1445.4545454546462,HK.00939,318.0,"9,3,3"
0,"20,0.015,100",0.2744694137890482,0.5161290322580645,K_DAY,"5,35,5",0.42982157956851386,29,12.989999999999952,0.7377952885087674,23.66435719784458,HK.00883,307.4,"9,3,3"
0,"20,0.015,100",0.34091406410252234,0.5594405594405595,K_DAY,"5,35,5",0.2998725069439211,31,3.8462800000000072,1.094983824991752,85.43319779111228,HK.00857,328.59999999999997,"9,3,3"
0,"20,0.015,100",-0.09062239248118875,0.45528455284552843,K_DAY,"5,35,5",0.3345592926469815,54,-0.3699999999999477,-0.18196705053225246,-1547.0270270272456,HK.00836,572.4,"9,3,3"
0,"20,0.015,100",-0.1009994941751764,0.5416666666666666,K_DAY,"5,35,5",0.19058593261926016,42,-4.750000000000227,-0.41756887870077947,-93.7263157894692,HK.00823,445.2,"9,3,3"
0,"20,0.015,100",0.1799572045711233,0.5454545454545454,K_DAY,"5,35,5",0.3314534941682318,29,5.890000000000029,0.616378084669886,52.190152801357975,HK.00762,307.4,"9,3,3"
0,"20,0.015,100",-0.0062427175887008746,0.42424242424242425,K_DAY,"5,35,5",0.18970968383454723,47,-471.8000000000011,0.18582933518547926,-1.0559559135226766,HK.00700,498.2,"9,3,3"
0,"20,0.015,100",0.028398291210088633,0.47368421052631576,K_DAY,"5,35,5",0.26483325903441257,39,26.28001000000006,0.25216901599082175,15.730587621541963,HK.00688,413.4,"9,3,3"
0,"20,0.015,100",0.12823946470001513,0.5416666666666666,K_DAY,"5,35,5",0.20287808715582456,31,-278.52,0.788836730311749,-1.1798075542151372,HK.00388,328.59999999999997,"9,3,3"
0,"20,0.015,100",-0.027199410914846345,0.5,K_DAY,"5,35,5",0.2624415711883319,37,3.4332700000000216,0.07377992395566105,114.23511695846744,HK.00386,392.2,"9,3,3"
