t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.01997,2020-07-14 11:55:00,32.25,32.2,32.25,32.2,30000,966200.0,0.0,0.0,32.2,0,,,,,,,,,,0.0,,0.0,,,32.21666666666667,,,,0.0
1,HK.01997,2020-07-14 12:00:00,32.25,32.2,32.25,32.2,2000,64450.0,0.0,0.0,32.2,0,,0.0,,,,,,,,,,,,,32.21666666666667,,,,
2,HK.01997,2020-07-14 13:05:00,32.2,32.2,32.25,32.2,220000,7086200.0,0.0,0.0,32.2,0,,0.0,,,,,,,,,,,,,32.21666666666667,,,,
3,HK.01997,2020-07-14 13:10:00,32.25,32.6,32.9,32.25,632000,20571500.0,0.0,0.0,32.2,0,,0.012422360248447228,,,,,,,,,,,,,32.583333333333336,,,,
4,HK.01997,2020-07-14 13:15:00,32.6,32.4,32.6,32.4,30000,974300.0,0.0,0.0,32.6,0,,-0.00613496932515345,32.32000000000001,,,,,,,0.0,0.0,0.0,,,32.46666666666667,,,,
5,HK.01997,2020-07-14 13:20:00,32.4,32.65,32.65,32.4,187000,6075000.0,0.0,0.0,32.4,0,,0.007716049382715973,32.41000000000001,,,,,,,0.0,0.0,0.0,,,32.56666666666666,,,,
6,HK.01997,2020-07-14 13:25:00,32.6,32.65,32.65,32.55,57000,1857900.0,0.0,0.0,32.65,0,,0.0,32.50000000000001,,,,,,,0.0,0.0,0.0,,,32.61666666666667,,,,
7,HK.01997,2020-07-14 13:30:00,32.65,32.7,32.7,32.6,64000,2087550.0,0.0,0.0,32.65,0,,0.0015313935681471325,32.6,,,,,,,0.0,0.0,0.0,,,32.666666666666664,,,,
8,HK.01997,2020-07-14 13:35:00,32.65,32.65,32.65,32.65,11000,359150.0,0.0,0.0,32.7,0,,-0.00152905198776776,32.61,,,,,,,0.0,0.0,0.0,,,32.65,,,,
9,HK.01997,2020-07-14 13:40:00,32.6,32.55,32.65,32.55,29000,945300.0,0.0,0.0,32.65,0,,-0.003062787136294043,32.64,32.480000000000004,,,,,,0.0,0.0,0.0,,,32.58333333333333,,,,
10,HK.01997,2020-07-14 13:45:00,32.55,32.55,32.6,32.5,70000,2279100.0,0.0,0.0,32.55,0,,0.0,32.61999999999999,32.515,,,,,,0.0,0.0,0.0,,,32.550000000000004,,,,
11,HK.01997,2020-07-14 13:50:00,32.6,32.5,32.6,32.45,20000,650650.0,0.0,0.0,32.55,0,,-0.001536098310291778,32.58999999999999,32.545,,,,,,0.0,0.0,0.0,,,32.516666666666666,,,,
12,HK.01997,2020-07-14 13:55:00,32.45,32.55,32.6,32.45,169000,5490900.0,0.0,0.0,32.5,0,,0.0015384615384614886,32.55999999999999,32.580000000000005,,,,,,0.0,0.0,0.0,46.15384615384561,49.0231990231986,32.53333333333334,,,,
13,HK.01997,2020-07-14 14:00:00,32.5,32.55,32.55,32.5,2000,65050.0,0.0,0.0,32.55,0,,0.0,32.539999999999985,32.575,,,,,,0.0,0.0,0.0,46.153846153845386,46.15384615384562,32.53333333333333,,,,
14,HK.01997,2020-07-14 14:05:00,32.55,32.5,32.55,32.5,18000,585200.0,0.0,0.0,32.55,0,,-0.001536098310291778,32.52999999999999,32.58500000000001,,,,,,0.0,0.0,0.0,39.99999999999883,44.102564102563285,32.516666666666666,,,,
15,HK.01997,2020-07-14 14:10:00,32.5,32.5,32.55,32.5,31000,1007650.0,0.0,0.0,32.5,0,,0.0,32.51999999999998,32.57000000000001,,,,,,0.0,0.0,0.0,29.999999999998845,38.71794871794769,32.516666666666666,,,,
16,HK.01997,2020-07-14 14:15:00,32.5,32.65,32.75,32.5,148000,4819500.0,0.0,0.0,32.5,0,,0.004615384615384466,32.54999999999998,32.57000000000001,,,,,,0.0,0.0,0.0,35.55555555555453,35.185185185184075,32.63333333333333,,,,
17,HK.01997,2020-07-14 14:20:00,32.6,32.75,32.8,32.55,194000,6332900.0,0.0,0.0,32.65,0,,0.003062787136294043,32.58999999999999,32.57500000000001,,,,,,0.0,0.0,0.0,57.46031746031701,41.00529100529013,32.699999999999996,,,,
18,HK.01997,2020-07-14 14:25:00,32.65,32.7,32.75,32.65,8000,261450.0,0.0,0.0,32.75,0,,-0.0015267175572518665,32.61999999999998,32.58000000000001,,,,,,0.0,0.0,0.0,74.6031746031749,55.87301587301548,32.699999999999996,,,,
19,HK.01997,2020-07-14 14:30:00,32.7,32.75,32.75,32.7,20000,654450.0,0.0,0.0,32.7,0,,0.001529051987767538,32.66999999999998,32.60000000000001,32.540000000000006,,,,,0.0,0.0,0.0,80.95238095238172,71.00529100529121,32.733333333333334,,,,
20,HK.01997,2020-07-14 14:35:00,32.7,32.65,32.75,32.65,31000,1013750.0,0.0,0.0,32.75,0,,-0.003053435114503844,32.69999999999998,32.61000000000001,32.5625,,,,,0.0,0.0,0.0,71.42857142857191,75.66137566137617,32.68333333333334,,,,
21,HK.01997,2020-07-14 14:40:00,32.6,32.65,32.65,32.6,19000,619600.0,0.0,0.0,32.65,0,,0.0,32.69999999999998,32.62500000000001,32.584999999999994,,,,,0.0,0.0,0.0,64.28571428571438,72.22222222222267,32.63333333333333,,,,
22,HK.01997,2020-07-14 14:45:00,32.6,32.6,32.65,32.6,19000,619800.0,0.0,0.0,32.65,0,,-0.0015313935681469104,32.66999999999998,32.63000000000001,32.605,,,,,0.0,0.0,0.0,46.825396825397,60.8465608465611,32.61666666666667,,,,
23,HK.01997,2020-07-14 14:50:00,32.6,32.75,32.9,32.6,230000,7521850.0,0.0,0.0,32.6,0,,0.004601226993864893,32.679999999999986,32.650000000000006,32.6125,,,,,0.0,0.0,0.0,48.61111111111145,53.24074074074094,32.75,,,,
24,HK.01997,2020-07-14 14:55:00,32.75,32.8,32.8,32.75,39000,1278650.0,0.0,0.0,32.75,0,,0.0015267175572517555,32.68999999999998,32.68000000000001,32.63249999999999,,,,,0.0,0.0,0.0,56.94444444444463,50.79365079365103,32.78333333333333,,,,
25,HK.01997,2020-07-14 15:00:00,32.75,32.9,32.9,32.75,138000,4527600.0,0.0,0.0,32.8,0,,0.0030487804878049918,32.73999999999999,32.720000000000006,32.644999999999996,,,,,0.0,0.0,0.0,79.16666666666659,61.574074074074225,32.85,32.578205128205134,0.11617357001972223,155.9705715902656,
26,HK.01997,2020-07-14 15:05:00,32.9,32.85,32.9,32.8,243000,7988150.0,0.0,0.0,32.9,0,,-0.001519756838905706,32.77999999999999,32.74000000000001,32.654999999999994,,,,,0.0,0.0,0.0,86.11111111111121,74.07407407407415,32.85,32.6025641025641,0.11005917159763275,149.88052568697893,0.0
