t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
43,HK.00151,2020-07-15 10:00:00,6.07,6.06,6.08,6.06,63000,382710.0,0.0,0.0,6.07,-1,-1.0,-0.0016474464579901982,6.095999999999999,6.071,6.0504999999999995,,0.03286325976244253,0.03872115738998254,-0.011715795255080014,0.0,-1.0,0.0,42.424242424242536,63.21548821548841,6.066666666666666,6.046538461538466,0.022376725838266262,59.96768032905352,0.0
43,HK.00823,2020-07-15 10:00:00,62.95,62.95,63.05,62.85,116400,7330425.0,0.0,0.0,62.95,-1,-1.0,0.0,63.08999999999999,62.88500000000001,62.714999999999975,,0.4024173511318665,0.4205011713287831,-0.036167640393833245,0.0,-1.0,0.0,45.15406162464986,50.606909430438776,62.949999999999996,62.69679487179488,0.22199211045365339,76.04027839478265,0.0
43,HK.01299,2020-07-15 10:00:00,74.45,74.3,74.45,74.25,307200,22840600.0,0.0,0.0,74.4,-1,-1.0,-0.0013440860215054862,74.54999999999998,74.19000000000003,73.8975,,0.5221766443494715,0.5241563999489113,-0.003959511198879495,0.0,-1.0,0.0,51.16279069767423,59.173126614986785,74.33333333333333,73.85064102564101,0.40739644970412914,78.98813846526683,0.0
44,HK.00002,2020-07-15 10:05:00,73.85,73.65,73.85,73.65,32000,2359825.0,0.0,0.0,73.9,-1,-1.0,-0.003382949932341006,73.88999999999999,73.67999999999998,73.47250000000003,,0.3342179349304786,0.34797845374955,-0.027521037638142842,0.0,-1.0,0.0,57.291666666666856,62.500000000000114,73.71666666666667,73.44807692307693,0.28949704142012134,61.85204110600049,0.0
44,HK.00939,2020-07-15 10:05:00,6.25,6.23,6.26,6.22,6907000,43079500.0,0.0,0.0,6.25,-1,-1.0,-0.0031999999999999806,6.245999999999999,6.234999999999999,6.214999999999998,,0.026264679833493787,0.026998257364898397,-0.0014671550628092209,0.0,-1.0,0.0,58.97435897435914,60.683760683760816,6.236666666666667,6.2150000000000025,0.021538461538461593,67.06349206348588,-0.5
44,HK.00083,2020-07-15 10:05:00,10.1,10.06,10.1,10.02,84000,845680.0,0.0,0.0,10.12,-1,-1.0,-0.005928853754940566,10.087999999999997,10.080000000000002,10.066,,0.02870348151795632,0.02940467104528158,-0.0014023790546505224,0.0,-1.0,0.0,32.07373271889387,33.41525857654872,10.06,10.069871794871794,0.025246548323471105,-26.067708333330497,0.0
44,HK.00001,2020-07-15 10:05:00,51.9,51.85,51.9,51.85,100000,5186500.0,0.0,0.0,51.9,-1,-1.0,-0.0009633911368014392,51.90999999999999,51.82499999999999,51.72499999999999,,0.2538994772820544,0.2600645505926922,-0.012330146621275517,0.0,-1.0,0.0,49.87922705314008,51.10708534621586,51.86666666666667,51.70897435897437,0.1520710059171632,69.1309987029755,0.0
45,HK.00003,2020-07-15 10:10:00,11.52,11.52,11.54,11.5,570000,6572420.0,0.0,0.0,11.52,-1,-1.0,0.0,11.523999999999997,11.511999999999995,11.481000000000005,,0.05202891352502448,0.0528735806715103,-0.0016893342929716476,0.0,-1.0,0.0,53.33333333333328,53.333333333333286,11.520000000000001,11.47230769230768,0.03353057199210699,94.823529411801,-0.5
45,HK.02007,2020-07-15 10:10:00,10.38,10.38,10.38,10.36,172000,1785320.0,0.0,0.0,10.38,-1,-1.0,0.0,10.411999999999997,10.391999999999994,10.336999999999996,,0.061762015355689925,0.06945397247801023,-0.015383914244640612,0.0,-1.0,0.0,44.44444444444454,49.382716049382715,10.373333333333333,10.329487179487181,0.05928994082840258,49.30139720558667,-0.5
45,HK.01299,2020-07-15 10:10:00,74.4,74.6,74.75,74.35,285800,21319950.0,0.0,0.0,74.4,0,1.0,0.0026881720430105283,74.40999999999997,74.41500000000003,73.98499999999999,,0.523446493499307,0.5173259196669624,0.012241147664689311,0.5173259196669624,0.0,0.0,54.37430786267981,52.36864771748481,74.56666666666666,73.91153846153844,0.4646942800788834,93.98698358800705,-0.5
45,HK.00857,2020-07-15 10:10:00,2.72,2.72,2.72,2.72,74000,201280.0,0.0,0.0,2.72,-1,-1.0,0.0,2.7180000000000017,2.716999999999999,2.707500000000001,,0.013563993230587545,0.01363689215744745,-0.00014579785371980972,0.0,-1.0,0.0,42.857142857143316,41.26984126984167,2.72,2.7065384615384622,0.010088757396449979,88.95405669598652,-0.5
45,HK.00006,2020-07-15 10:10:00,43.2,43.15,43.2,43.15,9000,388550.0,0.0,0.0,43.15,-1,-1.0,0.0,43.2,43.129999999999995,42.99,,0.21986642086262975,0.22570343339959079,-0.011674025073922067,0.0,-1.0,0.0,37.17948717948696,40.45584045584031,43.166666666666664,42.968589743589774,0.1629191321499131,81.0532687651138,-0.5
45,HK.00883,2020-07-15 10:10:00,8.8,8.79,8.81,8.78,393000,3457220.0,0.0,0.0,8.8,-1,-1.0,-0.001136363636363824,8.806000000000006,8.797,8.749500000000005,,0.05324571887379115,0.057332765171865786,-0.008174092596149277,0.0,-1.0,0.0,50.43478260869579,54.12560386473451,8.793333333333335,8.7474358974359,0.04619329388560233,66.2396811841715,-0.5
45,HK.02318,2020-07-15 10:10:00,87.7,87.6,87.85,87.6,176000,15436875.0,0.0,0.0,87.75,-1,-1.0,-0.0017094017094018144,87.74000000000004,87.65999999999998,87.35499999999999,,0.3794122574164618,0.3918009416679609,-0.024777368502998276,0.0,-1.0,0.0,61.80602509202911,65.67750982896352,87.68333333333332,87.35000000000001,0.2935897435897455,75.69141193594864,-0.5
