t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.00939,2020-07-14 11:55:00,6.19,6.19,6.19,6.18,928000,5738900.0,0.0,0.0,6.19,0,,,,,,,,,,0.0,,0.0,,,6.186666666666667,,,,0.0
1,HK.00939,2020-07-14 12:00:00,6.19,6.19,6.19,6.18,1887000,11672460.0,0.0,0.0,6.19,0,,0.0,,,,,,,,,,,,,6.186666666666667,,,,
2,HK.00939,2020-07-14 13:05:00,6.19,6.19,6.22,6.18,18968000,117664710.0,0.0,0.0,6.19,0,,0.0,,,,,,,,,,,,,6.196666666666666,,,,
3,HK.00939,2020-07-14 13:10:00,6.19,6.2,6.2,6.18,2952000,18278650.0,0.0,0.0,6.19,0,,0.001615508885298933,,,,,,,,,,,,,6.1933333333333325,,,,
4,HK.00939,2020-07-14 13:15:00,6.19,6.18,6.2,6.18,1204000,7455150.0,0.0,0.0,6.2,0,,-0.003225806451612967,6.1899999999999995,,,,,,,0.0,0.0,0.0,,,6.1866666666666665,,,,
5,HK.00939,2020-07-14 13:20:00,6.18,6.18,6.19,6.18,922000,5699540.0,0.0,0.0,6.18,0,,0.0,6.188,,,,,,,0.0,0.0,0.0,,,6.183333333333334,,,,
6,HK.00939,2020-07-14 13:25:00,6.18,6.2,6.2,6.18,4846000,29999080.0,0.0,0.0,6.18,0,,0.003236245954692629,6.1899999999999995,,,,,,,0.0,0.0,0.0,,,6.1933333333333325,,,,
7,HK.00939,2020-07-14 13:30:00,6.19,6.2,6.2,6.19,632000,3914140.0,0.0,0.0,6.2,0,,0.0,6.191999999999998,,,,,,,0.0,0.0,0.0,,,6.196666666666666,,,,
8,HK.00939,2020-07-14 13:35:00,6.19,6.19,6.2,6.19,2275000,14103490.0,0.0,0.0,6.2,0,,-0.001612903225806428,6.1899999999999995,,,,,,,0.0,0.0,0.0,,,6.193333333333334,,,,
9,HK.00939,2020-07-14 13:40:00,6.19,6.2,6.2,6.19,776000,4809480.0,0.0,0.0,6.19,0,,0.001615508885298933,6.193999999999999,6.192,,,,,,0.0,0.0,0.0,,,6.196666666666666,,,,
10,HK.00939,2020-07-14 13:45:00,6.2,6.19,6.2,6.19,852000,5280110.0,0.0,0.0,6.2,0,,-0.001612903225806428,6.196,6.192,,,,,,0.0,0.0,0.0,,,6.193333333333334,,,,
11,HK.00939,2020-07-14 13:50:00,6.19,6.19,6.2,6.18,4353000,26946160.0,0.0,0.0,6.19,0,,0.0,6.194,6.192,,,,,,0.0,0.0,0.0,,,6.19,,,,
12,HK.00939,2020-07-14 13:55:00,6.18,6.18,6.19,6.17,5819000,35966440.0,0.0,0.0,6.19,0,,-0.001615508885298933,6.1899999999999995,6.191000000000001,,,,,,0.0,0.0,0.0,36.11111111111208,37.03703703703841,6.18,,,,
13,HK.00939,2020-07-14 14:00:00,6.19,6.19,6.2,6.17,4718000,29195510.0,0.0,0.0,6.18,0,,0.0016181229773464256,6.1899999999999995,6.1899999999999995,,,,,,0.0,0.0,0.0,50.00000000000074,42.59259259259372,6.186666666666667,,,,
14,HK.00939,2020-07-14 14:05:00,6.18,6.19,6.2,6.18,2407000,14911980.0,0.0,0.0,6.19,0,,0.0,6.188000000000001,6.191,,,,,,0.0,0.0,0.0,55.555555555555884,47.222222222222904,6.19,,,,
15,HK.00939,2020-07-14 14:10:00,6.19,6.2,6.21,6.19,4069000,25225900.0,0.0,0.0,6.19,0,,0.001615508885298933,6.1899999999999995,6.193,,,,,,0.0,0.0,0.0,69.4444444444453,58.333333333333975,6.2,,,,
16,HK.00939,2020-07-14 14:15:00,6.21,6.21,6.22,6.2,2087000,12966680.0,0.0,0.0,6.2,0,,0.001612903225806317,6.194,6.194,,,,,,0.0,0.0,0.0,73.88888888888953,66.29629629629692,6.21,,,,
17,HK.00939,2020-07-14 14:20:00,6.21,6.21,6.22,6.2,5638000,35055100.0,0.0,0.0,6.21,0,,0.0,6.2,6.194999999999999,,,,,,0.0,0.0,0.0,78.33333333333375,73.88888888888954,6.21,,,,
18,HK.00939,2020-07-14 14:25:00,6.2,6.22,6.22,6.2,2741000,17033850.0,0.0,0.0,6.21,0,,0.0016103059581320522,6.2059999999999995,6.1979999999999995,,,,,,0.0,0.0,0.0,86.6666666666669,79.62962962963007,6.213333333333334,,,,
19,HK.00939,2020-07-14 14:30:00,6.22,6.21,6.23,6.21,6755000,42016930.0,0.0,0.0,6.22,0,,-0.001607717041800627,6.209999999999999,6.199,6.195499999999998,,,,,0.0,0.0,0.0,82.22222222222217,82.40740740740762,6.216666666666668,,,,
20,HK.00939,2020-07-14 14:35:00,6.22,6.22,6.23,6.22,2908000,18099460.0,0.0,0.0,6.21,0,,0.0016103059581320522,6.2139999999999995,6.202,6.196999999999998,,,,,0.0,0.0,0.0,83.33333333333285,84.07407407407398,6.223333333333333,,,,
21,HK.00939,2020-07-14 14:40:00,6.22,6.21,6.23,6.21,1650000,10260010.0,0.0,0.0,6.22,0,,-0.001607717041800627,6.2139999999999995,6.204,6.197999999999999,,,,,0.0,0.0,0.0,72.22222222222156,79.25925925925885,6.216666666666668,,,,
22,HK.00939,2020-07-14 14:45:00,6.21,6.22,6.22,6.21,401000,2492270.0,0.0,0.0,6.21,0,,0.0016103059581320522,6.215999999999999,6.208,6.199499999999999,,,,,0.0,0.0,0.0,76.66666666666582,77.40740740740675,6.216666666666666,,,,
23,HK.00939,2020-07-14 14:50:00,6.21,6.2,6.22,6.2,2135000,13253360.0,0.0,0.0,6.22,0,,-0.003215434083601254,6.211999999999999,6.2090000000000005,6.199499999999999,,,,,0.0,0.0,0.0,57.222222222221525,68.70370370370297,6.206666666666667,,,,
24,HK.00939,2020-07-14 14:55:00,6.2,6.22,6.22,6.2,5054000,31377020.0,0.0,0.0,6.2,0,,0.003225806451612856,6.213999999999999,6.212000000000001,6.2014999999999985,,,,,0.0,0.0,0.0,57.222222222221035,63.703703703702786,6.213333333333334,,,,
25,HK.00939,2020-07-14 15:00:00,6.22,6.21,6.22,6.2,1624000,10093560.0,0.0,0.0,6.22,0,,-0.001607717041800627,6.211999999999999,6.213,6.202999999999998,,,,,0.0,0.0,0.0,41.6666666666655,52.037037037036015,6.21,6.199615384615385,0.010838264299802888,63.876251137391755,
26,HK.00939,2020-07-14 15:05:00,6.21,6.21,6.21,6.2,470000,2917900.0,0.0,0.0,6.21,0,,0.0,6.211999999999999,6.213,6.203499999999997,,,,,0.0,0.0,0.0,44.44444444444313,47.77777777777655,6.206666666666667,6.200384615384617,0.010700197238659013,39.139784946229476,0.0
27,HK.00939,2020-07-14 15:10:00,6.2,6.2,6.21,6.2,689000,4274330.0,0.0,0.0,6.21,0,,-0.0016103059581320522,6.207999999999999,6.212000000000001,6.203499999999997,,,,,0.0,0.0,0.0,22.222222222221564,36.111111111110056,6.203333333333333,6.201025641025642,0.010335305719921225,14.885496183199008,0.0
