,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,ProfitBeforeFee,SharpeRatio,Symbol,Total Fee,slowKDParameters
0,"26,0.015,100,7",0.010976918947933179,0.6,K_5M,"5,35,5",0.0036900369003689537,14,0.03000000000000469,0.5416685762701857,HK.03988,148.4,"9,3,3"
0,"26,0.015,100,7",0.006676543209875874,0.625,K_5M,"5,35,5",0.004566210045662378,6,0.030000000000001137,0.47278459815255874,HK.03328,63.599999999999994,"9,3,3"
0,"26,0.015,100,7",0.07735085235004369,0.5825242718446602,K_5M,"5,35,5",0.011423948070154122,18,1.420000000000016,1.356503330877374,HK.02628,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",0.05639368984878379,0.673469387755102,K_5M,"5,35,5",0.00445434298440972,14,1.25,1.9350447484158129,HK.02388,148.4,"9,3,3"
0,"26,0.015,100,7",0.10279328713497082,0.5643564356435643,K_5M,"5,35,5",0.010706638115631328,18,13.299999999999955,1.3307891434438905,HK.02382,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",0.01544754276386362,0.6,K_5M,"5,35,5",0.00568181818181801,9,36.54999999999998,0.8878731166714127,HK.02319,95.39999999999999,"9,3,3"
0,"26,0.015,100,7",0.08032016174711387,0.6153846153846154,K_5M,"5,35,5",0.006993214735718234,40,6.650000000000091,2.358650654208871,HK.02318,424.0,"9,3,3"
0,"26,0.015,100,7",0.016923119394722574,0.5625,K_5M,"5,35,5",0.010585217158792015,16,1.6000000000000227,0.5926986942690525,HK.02313,169.6,"9,3,3"
0,"26,0.015,100,7",0.05386108532650158,0.5135135135135135,K_5M,"5,35,5",0.023656271049218747,12,2.9499999999999886,0.9942983604433798,HK.02018,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.0515802411638524,0.5882352941176471,K_5M,"5,35,5",0.007655537579055682,16,0.5200000000000102,1.464874066695864,HK.02007,169.6,"9,3,3"
0,"26,0.015,100,7",0.0002689888359461712,0.5454545454545454,K_5M,"5,35,5",0.019735799083142158,6,0.0,0.0161006326561086,HK.01997,63.599999999999994,"9,3,3"
0,"26,0.015,100,7",0.023998407966294932,0.546875,K_5M,"5,35,5",0.006309226996088824,18,0.7500000000000568,0.8582197846217609,HK.01928,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",-0.0020655673896889937,0.4,K_5M,"5,35,5",0.0041753653444677186,6,-0.00999999999999801,-0.18564027666378155,HK.01398,63.599999999999994,"9,3,3"
0,"26,0.015,100,7",0.14047891825021797,0.594059405940594,K_5M,"5,35,5",0.008127710281632727,52,9.649999999999864,2.447109848571005,HK.01299,551.1999999999999,"9,3,3"
0,"26,0.015,100,7",0.1162169387954779,0.5643564356435643,K_5M,"5,35,5",0.013911136149177161,18,1.18000099999999,1.5165590504921853,HK.01177,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",0.015810453329894836,0.5882352941176471,K_5M,"5,35,5",0.006801372232349001,12,0.6999999999999318,0.9449334965809664,HK.01113,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.09634386136342532,0.5928571428571429,K_5M,"5,35,5",0.005997001499250421,34,3.099999999999909,2.005732056865156,HK.01109,360.4,"9,3,3"
0,"26,0.015,100,7",0.2151954674430494,0.6080402010050251,K_5M,"5,35,5",0.014616321559074663,55,-12.879999999999939,2.695610240035251,HK.01093,583.0,"9,3,3"
0,"26,0.015,100,7",0.07179396729646559,0.6354166666666666,K_5M,"5,35,5",0.007507507507507394,22,0.9399999999999977,1.65407760645402,HK.01088,233.2,"9,3,3"
0,"26,0.015,100,7",0.0494856357136364,0.6049382716049383,K_5M,"5,35,5",0.00917839507567031,16,3.300000000000182,1.4258081230203608,HK.01044,169.6,"9,3,3"
0,"26,0.015,100,7",0.013908589301742103,0.5625,K_5M,"5,35,5",0.0038659793814436183,12,0.5500000000000114,0.8227684549297982,HK.01038,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.004753405828263446,0.5357142857142857,K_5M,"5,35,5",0.004721435316336398,8,0.25,0.4172620768529345,HK.00941,84.8,"9,3,3"
0,"26,0.015,100,7",0.0262992157901365,0.6896551724137931,K_5M,"5,35,5",0.004901960784313708,10,0.1600000000000037,1.3014964079161369,HK.00939,106.0,"9,3,3"
0,"26,0.015,100,7",0.033659164204188796,0.5483870967741935,K_5M,"5,35,5",0.009121850073618765,20,0.29000000000000625,0.9510653701675986,HK.00883,212.0,"9,3,3"
0,"26,0.015,100,7",0.14411335442586592,0.648936170212766,K_5M,"5,35,5",0.014035087719298178,38,0.36999999999999744,2.154331353222424,HK.00857,402.8,"9,3,3"
0,"26,0.015,100,7",0.03309841967230254,0.5957446808510638,K_5M,"5,35,5",0.011433613677431786,14,0.3199999999999932,1.1205590960876897,HK.00836,148.4,"9,3,3"
0,"26,0.015,100,7",0.030439954897386823,0.5730337078651685,K_5M,"5,35,5",0.00499459534851332,16,1.8500000000000227,1.264001593522826,HK.00823,169.6,"9,3,3"
0,"26,0.015,100,7",0.07531846373046314,0.6774193548387096,K_5M,"5,35,5",0.004587155963302836,18,0.3300000000000054,1.9894596719878168,HK.00762,190.79999999999998,"9,3,3"
0,"26,0.015,100,7",0.17041685785085958,0.5734597156398105,K_5M,"5,35,5",0.012416427889207049,60,85.0,2.2684917607592454,HK.00700,636.0,"9,3,3"
