t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,2020-07-23 00:00:00,25144.0,25131.0,25148.0,25128.0,0.0,0.0,126,3167339.0,-0.05567707297673494,25145.0,0,,,,,,,,,,0.0,,0.0,,,25135.666666666668,,,,0.0
1,HK.MHImain,2020-07-23 00:05:00,25129.0,25118.0,25133.0,25116.0,0.0,0.0,143,3592886.0,-0.05172894035255263,25131.0,0,,-0.0005172894035255782,,,,,,,,,,,,,25122.333333333332,,,,
2,HK.MHImain,2020-07-23 00:10:00,25118.0,25118.0,25126.0,25113.0,0.0,0.0,123,3089677.0,0.0,25118.0,0,,0.0,,,,,,,,,,,,,25119.0,,,,
3,HK.MHImain,2020-07-23 00:15:00,25119.0,25137.0,25147.0,25118.0,0.0,0.0,195,4901776.0,0.07564296520423601,25118.0,0,,0.0007564296520423675,,,,,,,,,,,,,25134.0,,,,
4,HK.MHImain,2020-07-23 00:20:00,25137.0,25133.0,25148.0,25129.0,0.0,0.0,150,3770722.0,-0.015912797867685086,25137.0,0,,-0.00015912797867689843,25127.4,,,,,,,0.0,0.0,0.0,,,25136.666666666668,,,,
5,HK.MHImain,2020-07-23 00:25:00,25131.0,25117.0,25138.0,25115.0,0.0,0.0,119,2989538.0,-0.06366132176819321,25133.0,0,,-0.0006366132176819361,25124.6,,,,,,,0.0,0.0,0.0,,,25123.333333333332,,,,
6,HK.MHImain,2020-07-23 00:30:00,25118.0,25120.0,25123.0,25116.0,0.0,0.0,77,1934242.0,0.011944101604490982,25117.0,0,,0.00011944101604499657,25125.0,,,,,,,0.0,0.0,0.0,,,25119.666666666668,,,,
7,HK.MHImain,2020-07-23 00:35:00,25118.0,25110.0,25120.0,25099.0,0.0,0.0,190,4770528.0,-0.039808917197452234,25120.0,0,,-0.00039808917197448057,25123.4,,,,,,,0.0,0.0,0.0,,,25109.666666666668,,,,
8,HK.MHImain,2020-07-23 00:40:00,25110.0,25102.0,25113.0,25100.0,0.0,0.0,115,2887129.0,-0.03185981680605337,25110.0,0,,-0.00031859816806056873,25116.4,,,,,,,0.0,0.0,0.0,,,25105.0,,,,
9,HK.MHImain,2020-07-23 00:45:00,25102.0,25099.0,25104.0,25096.0,0.0,0.0,76,1907601.0,-0.011951238945103975,25102.0,0,,-0.00011951238945107079,25109.6,25118.5,,,,,,0.0,0.0,0.0,,,25099.666666666668,,,,
