t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
46,HK.MHImain,2020-07-23 10:05:00,25269.0,25235.0,25271.0,25220.0,0.0,0.0,2282,57596297.0,-0.1345522181328901,25269.0,-1,-1.0,-0.0013455221813288842,25275.0,25234.1,25148.25,,100.53247020385243,100.72209317995613,-0.37924595220741253,0.0,-1.0,0.0,78.0804150453956,82.49628171807161,25242.0,25126.269230769245,81.1469428007934,95.07917795897825,0.0
60,HK.MHImain,2020-07-23 11:15:00,25055.0,25098.0,25101.0,25054.0,0.0,0.0,1453,36448630.0,0.16762452107279693,25056.0,0,1.0,0.0016762452107279557,25043.4,25050.8,25137.45,25109.683333333334,-49.07110066117093,-62.040459574838344,25.938717827334827,0.0,1.0,0.0,49.83242077318732,35.5504857769666,25084.333333333332,25138.79487179488,79.57396449704189,-45.627602617495896,0.0
76,HK.MHImain,2020-07-23 13:35:00,25174.0,25122.0,25180.0,25119.0,0.0,0.0,1091,27433657.0,-0.20259802168990584,25173.0,-1,-1.0,-0.002025980216899037,25153.0,25144.5,25114.1,25115.45,21.33303626776251,24.58673503482661,-6.507397534128202,0.0,-1.0,0.0,68.13982037862634,77.41038673874492,25140.333333333332,25099.884615384624,45.457593688362415,59.32080820351188,0.0
81,HK.MHImain,2020-07-23 14:00:00,25144.0,25148.0,25159.0,25130.0,0.0,0.0,739,18584593.0,0.019886250646303148,25143.0,0,1.0,0.00019886250646306003,25126.4,25139.7,25134.6,25118.1,12.004124353385123,10.03378385208406,3.940681002602126,10.03378385208406,0.0,0.0,61.43790849673203,48.27028454479433,25145.666666666668,25111.000000000007,39.512820512819204,58.49015790611328,0.0
88,HK.MHImain,2020-07-23 14:35:00,25193.0,25156.0,25194.0,25148.0,0.0,0.0,1405,35357231.0,-0.1627177838631583,25197.0,-1,-1.0,-0.0016271778386315328,25195.4,25185.9,25161.35,25135.516666666666,35.064570109010674,43.712621659778726,-17.296103101536104,10.03378385208406,-1.0,0.0,57.22381864623245,66.5283099191145,25166.0,25154.12820512821,28.654832347141426,27.620227606447166,0.0
93,HK.MHImain,2020-07-23 15:00:00,25200.0,25205.0,25222.0,25188.0,0.0,0.0,679,17114050.0,0.01984126984126984,25200.0,0,1.0,0.0001984126984126977,25193.4,25194.4,25174.65,25147.35,35.24644030338095,34.628414370764226,1.2360518652334491,34.628414370764226,0.0,0.0,56.998683633172455,47.530030263032835,25205.0,25166.26923076924,30.828402366864445,83.75559820854879,-0.5
95,HK.MHImain,2020-07-23 15:10:00,25209.0,25174.0,25209.0,25162.0,0.0,0.0,869,21883091.0,-0.1229914699464392,25205.0,-1,-1.0,-0.0012299146994644294,25198.2,25191.7,25176.55,25150.966666666667,26.345429081527982,32.054801370037765,-11.418744577019567,34.628414370764226,-1.0,0.0,54.263565891472894,57.26683243137828,25181.666666666668,25170.717948717956,30.512820512820465,23.921568627436752,-0.5
105,HK.MHImain,2020-07-23 16:00:00,25178.0,25221.0,25224.0,25177.0,0.0,0.0,1016,25605275.0,0.16680567139282734,25179.0,0,1.0,0.0016680567139282232,25182.4,25184.8,25188.25,25144.983333333334,17.50949630652758,12.639904419890046,9.73918377327507,34.628414370764226,0.0,0.0,58.859328812380475,37.133148377396616,25207.333333333332,25187.88461538463,17.96153846153846,72.18653342843872,-0.5
112,HK.MHImain,2020-07-23 17:20:00,25228.0,25201.0,25228.0,25190.0,0.0,0.0,347,8746996.0,-0.1861533586818758,25248.0,-1,-1.0,-0.001861533586818731,25229.8,25219.8,25203.3,25155.266666666666,30.259441537811654,35.66083337020497,-10.80278366478663,34.628414370764226,-1.0,0.0,58.75619714202396,68.14182949353555,25206.333333333332,25199.730769230795,21.346153846153847,20.620620620536428,0.0
121,HK.MHImain,2020-07-23 18:05:00,25206.0,25228.0,25229.0,25204.0,0.0,0.0,265,6682934.0,0.0991945403325001,25203.0,0,1.0,0.000991945403324923,25206.6,25210.6,25213.35,25180.933333333334,12.133667415746459,12.08934879467159,0.088637242149737,34.628414370764226,0.0,0.0,51.05340008343768,31.83428069809487,25220.333333333332,25205.87179487183,20.410256410256178,47.23618090440615,-0.5
124,HK.MHImain,2020-07-23 18:20:00,25222.0,25214.0,25225.0,25214.0,0.0,0.0,69,1740186.0,-0.03171834113075886,25222.0,-1,-1.0,-0.00031718341130759775,25220.2,25215.0,25221.5,25186.816666666666,14.306565239799966,14.719406475776562,-0.8256824719531934,34.628414370764226,-1.0,0.0,77.124183006536,81.06892875353454,25217.666666666668,25211.153846153877,18.923076923077062,22.944896115524465,-0.5
