t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,2020-07-25 00:18:00,24740.0,24742.0,24748.0,24737.0,94,2325696.0,0.0,0.0,24741.0,0,,,,,,,,,0.0,,0.0,,,24742.333333333332,,,,0.0
1,HK.MHImain,2020-07-25 00:21:00,24741.0,24750.0,24753.0,24734.0,106,2622758.0,0.0,0.0,24742.0,0,,0.0003233368361490463,,,,,,,,,,,,24745.666666666668,,,,
2,HK.MHImain,2020-07-25 00:24:00,24751.0,24744.0,24755.0,24744.0,39,965287.0,0.0,0.0,24750.0,0,,-0.0002424242424242662,,,,,,,,,,,,24747.666666666668,,,,
3,HK.MHImain,2020-07-25 00:27:00,24748.0,24759.0,24760.0,24741.0,73,1806754.0,0.0,0.0,24744.0,0,,0.0006062075654704735,,,,,,,,,,,,24753.333333333332,,,,
4,HK.MHImain,2020-07-25 00:30:00,24758.0,24758.0,24762.0,24756.0,41,1015128.0,0.0,0.0,24759.0,0,,-4.0389353366476755e-05,24764.54847663437,24736.65152336563,24750.6,,,,0.0,0.0,0.0,,,24758.666666666668,,,,
5,HK.MHImain,2020-07-25 00:33:00,24758.0,24756.0,24764.0,24756.0,45,1114130.0,0.0,0.0,24758.0,0,,-8.078196946437188e-05,24764.685388768525,24742.11461123148,24753.4,,,,0.0,0.0,0.0,,,24758.666666666668,,,,
6,HK.MHImain,2020-07-25 00:36:00,24755.0,24759.0,24762.0,24753.0,38,940752.0,0.0,0.0,24756.0,0,,0.00012118274357741932,24766.612274084124,24743.787725915878,24755.2,,,,0.0,0.0,0.0,,,24758.0,,,,
7,HK.MHImain,2020-07-25 00:39:00,24758.0,24757.0,24760.0,24756.0,22,544669.0,0.0,0.0,24759.0,0,,-8.077870673295351e-05,24760.132380872426,24755.467619127572,24757.8,,,,0.0,0.0,0.0,,,24757.666666666668,,,,
8,HK.MHImain,2020-07-25 00:42:00,24757.0,24750.0,24758.0,24747.0,36,891114.0,0.0,0.0,24757.0,0,,-0.0002827483136083053,24762.324555320338,24749.675444679662,24756.0,,,,0.0,0.0,0.0,,,24751.666666666668,,,,
9,HK.MHImain,2020-07-25 00:45:00,24748.0,24748.0,24750.0,24746.0,41,1014647.0,0.0,0.0,24750.0,0,,-8.080808080812574e-05,24762.48528137424,24745.51471862576,24754.0,,,,0.0,0.0,0.0,,,24748.0,,,,
10,HK.MHImain,2020-07-25 00:48:00,24751.0,24752.0,24752.0,24749.0,20,495013.0,0.0,0.0,24748.0,0,,0.00016162922256346413,24761.533066665834,24744.866933334168,24753.2,,,,0.0,0.0,0.0,,,24751.0,,,,
11,HK.MHImain,2020-07-25 00:51:00,24748.0,24746.0,24752.0,24744.0,37,915643.0,0.0,0.0,24752.0,0,,-0.0002424046541693592,24758.14718493976,24743.052815060237,24750.6,,,,0.0,0.0,0.0,,,24747.333333333332,,,,
12,HK.MHImain,2020-07-25 00:54:00,24748.0,24744.0,24755.0,24744.0,50,1237438.0,0.0,0.0,24746.0,0,,-8.082114281093844e-05,24753.656854249493,24742.343145750507,24748.0,,,,0.0,0.0,0.0,23.18840579710145,37.06924315619968,24747.666666666668,,,,
