t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
33,HK.MHImain,2020-07-15 22:45:00,25633.0,25647.0,25653.0,25620.0,813,20843886.0,0.0,0.0,25631.0,1,1.0,0.0006242440794350657,25672.46126703549,25511.138732964508,25591.8,,,,0.0,0.0,0.0,75.51566080977848,49.33454345219053,25640.0,25559.21794871794,50.12426035503044,107.44238513098179,1.0
38,HK.MHImain,2020-07-16 00:00:00,25518.0,25496.0,25540.0,25494.0,878,22401674.0,0.0,0.0,25521.0,0,-1.0,-0.0009795854394419878,25667.66192313473,25461.53807686527,25564.6,2.310383325711882,38.7506226185018,-72.88047858557984,0.0,0.0,0.0,13.37013160589746,33.3052949011249,25510.0,25579.30769230769,37.26035502958621,-124.00614049017764,-1.0
41,HK.MHImain,2020-07-16 00:45:00,25536.0,25528.0,25539.0,25505.0,369,9417360.0,0.0,0.0,25537.0,-1,-1.0,-0.00035242980772998145,25548.915555255295,25482.684444744704,25515.8,-8.306832089412637,5.358181950417904,-27.330028079661083,0.0,0.0,0.0,24.697754749568237,15.588232174567887,25524.0,25580.089743589746,36.35798816568044,-102.84717136373526,-1.0
48,HK.MHImain,2020-07-16 02:30:00,25608.0,25602.0,25612.0,25575.0,131,3352715.0,0.0,0.0,25603.0,0,1.0,-3.905792289971011e-05,25618.056618422008,25579.14338157799,25598.6,37.24804194506578,30.61634676601732,13.26339035809692,6.0705717937303625,0.0,0.0,77.99983830544105,81.04268114454872,25596.333333333332,25583.538461538465,34.67061143984183,24.602723100837775,0.5
53,HK.MHImain,2020-07-16 10:00:00,25573.0,25454.0,25586.0,25420.0,7585,193336180.0,0.0,0.0,25569.0,-1,-1.0,-0.004497633853494443,25656.1120246113,25450.687975388704,25553.4,-17.37370772817667,10.783107137144361,-56.31362973064206,6.0705717937303625,0.0,0.0,48.56759049773759,55.02852711853361,25486.666666666668,25571.2435897436,34.35305719921025,-164.13274387095353,-1.0
65,HK.MHImain,2020-07-16 14:00:00,25157.0,25176.0,25186.0,25132.0,3961,99656403.0,0.0,0.0,25156.0,0,1.0,0.0007950389569089111,25231.62221910153,25073.177780898473,25152.4,-210.00445896448946,-218.0970205073253,16.185123085671705,6.0705717937303625,1.0,0.0,37.62378275996956,23.4708698019969,25164.666666666668,25398.88461538463,182.158777120313,-85.71933870755932,0.5
72,HK.MHImain,2020-07-16 15:45:00,24989.0,24945.0,24991.0,24938.0,3282,81935744.0,0.0,0.0,24990.0,-1,-1.0,-0.0018007202881152873,25095.43300309833,24930.56699690167,25013.0,-250.072459462619,-233.68322067503377,-32.778477575170484,214.15517856783507,0.0,0.0,11.227003487182808,13.779866902002832,24958.0,25262.435897435913,176.2445759368896,-115.15660205619666,-1.0
79,HK.MHImain,2020-07-16 18:15:00,24942.0,24970.0,24975.0,24936.0,595,14851517.0,0.0,0.0,24942.0,0,1.0,0.0011226044423060522,24984.493214553095,24888.706785446902,24936.6,-205.392357208686,-227.86802533299718,44.95133624862234,214.15517856783507,0.0,0.0,45.14871794871797,34.80379172821219,24960.333333333332,25092.038461538476,110.44575936883498,-79.49913089031182,0.5
94,HK.MHImain,2020-07-16 22:00:00,25054.0,25065.0,25097.0,25043.0,1682,42174273.0,0.0,0.0,25054.0,1,1.0,0.0004390516484393814,25079.95747157548,24981.24252842452,25030.6,-37.480150237886846,-56.540499754540534,38.120699033307375,214.15517856783507,0.0,0.0,64.83516483516483,54.705707822238956,25068.333333333332,24992.153846153855,41.54043392504788,122.25756928286506,1.0
104,HK.MHImain,2020-07-17 00:30:00,25137.0,25112.0,25140.0,25107.0,411,10324224.0,0.0,0.0,25140.0,0,-1.0,-0.001113762927605455,25157.75869631986,25107.441303680138,25132.6,27.55352006472458,28.831652139601818,-2.556264149754476,214.15517856783507,-1.0,0.0,71.43569292123631,77.40845466030561,25119.666666666668,25053.538461538472,55.467455621303365,79.47988526182206,-0.5
119,HK.MHImain,2020-07-17 10:30:00,25185.0,25243.0,25248.0,25145.0,5430,136842405.0,0.0,0.0,25185.0,1,1.0,0.002302958109986042,25259.103382464986,25096.496617535013,25177.8,58.07619150980463,35.89317376849266,44.36603548262394,214.15517856783507,0.0,0.0,77.97362044779656,72.60806899185326,25212.0,25124.692307692312,19.58777120315552,297.1503373275495,1.0
123,HK.MHImain,2020-07-17 11:30:00,25103.0,25096.0,25137.0,25080.0,3224,80955522.0,0.0,0.0,25104.0,0,-1.0,-0.00031867431485022024,25259.127742866935,25046.072257133063,25152.6,4.992077170270932,24.41214780145017,-38.84014126235848,214.15517856783507,0.0,0.0,36.45833333333335,51.47650571131876,25104.333333333332,25132.692307692312,18.9033530572002,-100.01391207569654,-1.0
127,HK.MHImain,2020-07-17 13:30:00,25121.0,25056.0,25127.0,25050.0,3435,86157150.0,0.0,0.0,25121.0,-1,-1.0,-0.002587476613192141,25147.18239689902,25047.21760310098,25097.2,-20.775572606446076,-4.117703861562241,-33.31573748976767,214.15517856783507,0.0,0.0,24.537218733647325,28.98406157334725,25077.666666666668,25126.70512820513,21.585798816568058,-151.45285087719117,-1.0
134,HK.MHImain,2020-07-17 15:15:00,25105.0,25131.0,25145.0,25092.0,2137,53683572.0,0.0,0.0,25105.0,0,1.0,0.001035650268870647,25137.240998703626,25074.759001296374,25106.0,-2.851804781348619,-12.616716993263026,19.529824423828813,214.15517856783507,0.0,0.0,69.4805194805195,64.375679190494,25122.666666666668,25115.769230769234,26.169625246548794,17.571098382066374,0.5
140,HK.MHImain,2020-07-17 17:30:00,25169.0,25187.0,25220.0,25169.0,898,22618279.0,0.0,0.0,25160.0,1,1.0,0.0010731319554848628,25206.153069425614,25076.64693057439,25141.4,28.49654244809426,14.415248134567108,28.162588627054305,214.15517856783507,0.0,0.0,73.00474408018323,69.18341320804039,25192.0,25123.384615384624,31.883629191323752,143.470460872226,1.0
152,HK.MHImain,2020-07-17 20:30:00,25204.0,25197.0,25205.0,25190.0,467,11767368.0,0.0,0.0,25200.0,0,-1.0,-0.00011904761904757422,25204.563720429345,25177.036279570653,25190.8,39.26990617791671,38.526174692238484,1.4874629713564502,214.15517856783507,0.0,0.0,81.68654666377509,73.90425070483627,25197.333333333332,25143.820512820523,40.71992110453511,87.6112052958595,-0.5
156,HK.MHImain,2020-07-17 21:30:00,25198.0,25227.0,25232.0,25191.0,758,19115583.0,0.0,0.0,25196.0,1,1.0,0.0012303540244482658,25230.000000000568,25162.799999999435,25196.4,39.95794180107987,35.681957698433415,8.551968205292908,214.15517856783507,0.0,0.0,63.101301641199825,49.152051430021125,25216.666666666668,25164.025641025648,28.73767258382507,122.11850835048446,1.0
