t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,2020-07-04 01:45:00,25224.0,25216.0,25224.0,25210.0,99,2496479.0,0.0,0.0,25217.0,0,,,,,,,,,0.0,,0.0,,,25216.666666666668,,,,0.0
1,HK.MHImain,2020-07-04 02:15:00,25213.0,25225.0,25228.0,25213.0,67,1689934.0,0.0,0.0,25216.0,0,,0.00035691624365474794,,,,,,,,,,,,25222.0,,,,
2,HK.MHImain,2020-07-04 02:45:00,25228.0,25222.0,25228.0,25212.0,102,2572359.0,0.0,0.0,25225.0,0,,-0.00011892963330029094,,,,,,,,,,,,25220.666666666668,,,,
3,HK.MHImain,2020-07-04 03:00:00,25224.0,25240.0,25262.0,25207.0,194,4895166.0,0.0,0.0,25222.0,0,,0.0007136626754420394,,,,,,,,,,,,25236.333333333332,,,,
4,HK.MHImain,2020-07-06 09:45:00,25489.0,25851.0,25851.0,25488.0,16687,427975593.0,0.0,0.0,25240.0,0,,0.02420760697305857,25851.250037466525,24850.349962533473,25350.8,,,,0.0,0.0,0.0,,,25730.0,,,,
5,HK.MHImain,2020-07-06 10:15:00,25849.0,25853.0,25915.0,25770.0,14961,386687725.0,0.0,0.0,25851.0,0,,7.736644617239996e-05,26088.736026782837,24867.663973217164,25478.2,,,,0.0,0.0,0.0,,,25846.0,,,,
6,HK.MHImain,2020-07-06 10:45:00,25857.0,25912.0,25925.0,25847.0,7426,192212473.0,0.0,0.0,25853.0,0,,0.0022821336015161897,26245.280045737924,24985.919954262074,25615.6,,,,0.0,0.0,0.0,,,25894.666666666668,,,,
7,HK.MHImain,2020-07-06 11:15:00,25913.0,25985.0,25990.0,25899.0,6333,164321580.0,0.0,0.0,25912.0,0,,0.0028172275393640867,26305.394787763034,25231.005212236967,25768.2,,,,0.0,0.0,0.0,,,25958.0,,,,
8,HK.MHImain,2020-07-06 11:45:00,25987.0,26086.0,26100.0,25983.0,6787,176715863.0,0.0,0.0,25985.0,0,,0.0038868578025783584,26115.346508815324,25759.45349118468,25937.4,,,,0.0,0.0,0.0,,,26056.333333333332,,,,
9,HK.MHImain,2020-07-06 12:00:00,26085.0,26202.0,26282.0,26083.0,6304,165138449.0,0.0,0.0,26086.0,0,,0.004446829717089651,26256.58064181902,25758.61935818098,26007.6,,,,0.0,0.0,0.0,,,26189.0,,,,
10,HK.MHImain,2020-07-06 13:30:00,26200.0,26034.0,26252.0,26018.0,9597,250852862.0,0.0,0.0,26202.0,0,,-0.006411724295855237,26239.212998544743,25848.387001455256,26043.8,,,,0.0,0.0,0.0,,,26101.333333333332,,,,
11,HK.MHImain,2020-07-06 14:00:00,26035.0,26159.0,26165.0,26017.0,6528,170366238.0,0.0,0.0,26034.0,0,,0.004801413536144938,26251.77061518411,25934.629384815893,26093.2,,,,0.0,0.0,0.0,,,26113.666666666668,,,,
12,HK.MHImain,2020-07-06 14:30:00,26158.0,26174.0,26222.0,26142.0,6393,167385798.0,0.0,0.0,26159.0,0,,0.0005734164150006382,26254.6381818052,26007.3618181948,26131.0,,,,0.0,0.0,0.0,83.96211899322437,86.42816572671876,26179.333333333332,,,,
13,HK.MHImain,2020-07-06 15:00:00,26175.0,26298.0,26317.0,26175.0,6541,171786011.0,0.0,0.0,26174.0,0,,0.004737525788950814,26343.066024884014,26003.73397511599,26173.4,,,,0.0,0.0,0.0,90.49421088274153,86.82394458397829,26263.333333333332,,,,
14,HK.MHImain,2020-07-06 15:30:00,26297.0,26377.0,26443.0,26262.0,8947,235834280.0,0.0,0.0,26298.0,0,,0.003004030724769846,26445.87538819832,25970.92461180168,26208.4,,,,0.0,0.0,0.0,90.6168892033284,88.3577396930981,26360.666666666668,,,,
15,HK.MHImain,2020-07-06 16:00:00,26377.0,26348.0,26414.0,26330.0,4653,122720654.0,0.0,0.0,26377.0,0,,-0.0010994426962884774,26449.74254394844,26092.657456051562,26271.2,,,,0.0,0.0,0.0,89.32981580973922,90.14697196526971,26364.0,,,,
16,HK.MHImain,2020-07-06 16:30:00,26350.0,26321.0,26355.0,26212.0,6341,166688016.0,0.0,0.0,26348.0,0,,-0.0010247457112494418,26443.569139456285,26163.63086054371,26303.6,,,,0.0,0.0,0.0,81.64706669069727,87.19792390125497,26296.0,,,,
17,HK.MHImain,2020-07-06 17:45:00,26300.0,26281.0,26333.0,26230.0,1541,40512112.0,0.0,0.0,26321.0,0,,-0.0015196990995782755,26393.78371900246,26256.21628099754,26325.0,,,,0.0,0.0,0.0,72.66228552045433,81.21305600696361,26281.333333333332,,,,
18,HK.MHImain,2020-07-06 18:15:00,26282.0,26322.0,26334.0,26268.0,914,24029288.0,0.0,0.0,26281.0,0,,0.0015600624024960652,26393.54197988737,26266.05802011263,26329.8,,,,0.0,0.0,0.0,69.01544532897869,74.44159918004344,26308.0,,,,
19,HK.MHImain,2020-07-06 18:45:00,26323.0,26302.0,26339.0,26294.0,661,17392788.0,0.0,0.0,26322.0,0,,-0.0007598206823189457,26359.510625134993,26270.089374865005,26314.8,,,,0.0,0.0,0.0,66.82316118935836,69.50029734626379,26311.666666666668,,,,
20,HK.MHImain,2020-07-06 19:15:00,26300.0,26322.0,26324.0,26290.0,434,11415481.0,0.0,0.0,26302.0,0,,0.0007603984487871696,26342.01234332693,26277.187656673068,26309.6,,,,0.0,0.0,0.0,66.09943901132895,67.312681843222,26312.0,,,,
21,HK.MHImain,2020-07-06 19:45:00,26321.0,26342.0,26362.0,26320.0,938,24707296.0,0.0,0.0,26322.0,0,,0.0007598206823189457,26355.22269909304,26272.37730090696,26313.8,,,,0.0,0.0,0.0,63.005168579450775,65.30925626004604,26341.333333333332,,,,
22,HK.MHImain,2020-07-06 20:15:00,26343.0,26401.0,26405.0,26343.0,1051,27722279.0,0.0,0.0,26342.0,0,,0.0022397691898867755,26405.875252480237,26269.724747519762,26337.8,,,,0.0,0.0,0.0,67.97742636860997,65.69401131979657,26383.0,,,,
23,HK.MHImain,2020-07-06 20:45:00,26401.0,26452.0,26485.0,26393.0,1927,50960805.0,0.0,0.0,26401.0,0,,0.0019317450096587585,26474.089800073045,26253.510199926954,26363.8,,,,0.0,0.0,0.0,77.34790085536352,69.44349860114143,26443.333333333332,,,,
24,HK.MHImain,2020-07-06 21:15:00,26450.0,26453.0,26491.0,26442.0,1117,29559881.0,0.0,0.0,26452.0,0,,3.7804324814816326e-05,26502.745574622164,26285.254425377836,26394.0,,,,0.0,0.0,0.0,85.37006601522728,76.89846441306692,26462.0,,,,
25,HK.MHImain,2020-07-06 21:45:00,26453.0,26483.0,26508.0,26449.0,2087,55255915.0,0.0,0.0,26453.0,0,,0.0011340868710543184,26525.53700216775,26326.86299783225,26426.2,,,,0.0,0.0,0.0,88.4330701573681,83.71701234265298,26480.0,26060.410256410258,320.2327416173564,87.35099800030375,
26,HK.MHImain,2020-07-06 22:15:00,26483.0,26497.0,26557.0,26448.0,3317,87898166.0,0.0,0.0,26483.0,0,,0.0005286410149907272,26523.24725580803,26391.15274419197,26457.2,,,,0.0,0.0,0.0,85.54195896175865,86.44836504478468,26500.666666666668,26109.794871794875,286.37080867850005,90.99432926969246,0.0
27,HK.MHImain,2020-07-06 22:45:00,26496.0,26537.0,26541.0,26452.0,2464,65287774.0,0.0,0.0,26497.0,0,,0.0015096048609275492,26547.412379731813,26421.38762026819,26484.4,,,,0.0,0.0,0.0,87.58510395524797,87.18671102479158,26510.0,26159.333333333336,252.07692307692224,92.74065032380533,0.0
28,HK.MHImain,2020-07-06 23:15:00,26537.0,26568.0,26591.0,26528.0,2362,62736450.0,0.0,0.0,26537.0,1,1.0,0.0011681802765950433,26588.649120911425,26426.550879088572,26507.6,,,,0.0,0.0,0.0,88.03564053595021,87.05423448431895,26562.333333333332,26210.935897435902,215.74556213017647,108.58390548195968,1.0
29,HK.MHImain,2020-07-06 23:45:00,26569.0,26556.0,26586.0,26541.0,1452,38567093.0,0.0,0.0,26568.0,1,,-0.0004516711833785214,26594.235142158297,26462.164857841704,26528.2,,,,0.0,0.0,0.0,90.65101271043319,88.75725240054379,26561.0,26261.88461538462,176.0483234713987,113.27018200355064,0.0
30,HK.MHImain,2020-07-07 00:15:00,26554.0,26526.0,26568.0,26511.0,989,26241509.0,0.0,0.0,26556.0,1,,-0.0011296882060550795,26586.13801779329,26487.461982206707,26536.8,,,,0.0,0.0,0.0,84.41133247202153,87.69932857280163,26535.0,26292.84615384616,157.34319526627098,102.60113070838334,0.0
31,HK.MHImain,2020-07-07 00:45:00,26525.0,26497.0,26536.0,26486.0,730,19347591.0,0.0,0.0,26526.0,1,,-0.0010932669833371156,26586.13801779329,26487.461982206707,26536.8,,,,0.0,0.0,0.0,71.13348198486871,82.06527572244113,26506.333333333332,26318.243589743597,144.03846153846155,87.05533303663748,0.0
32,HK.MHImain,2020-07-07 01:15:00,26495.0,26495.0,26512.0,26475.0,633,16770959.0,0.0,0.0,26497.0,1,,-7.548024304637746e-05,26587.979862367683,26468.82013763232,26528.4,,,,0.0,0.0,0.0,53.96201496818512,69.83560980835844,26494.0,26341.29487179488,132.73372781065044,76.6974758281789,0.0
33,HK.MHImain,2020-07-07 01:45:00,26492.0,26526.0,26537.0,26487.0,372,9863273.0,0.0,0.0,26495.0,1,,0.0011700320815248855,26564.917702522554,26475.082297477446,26520.0,,,,0.0,0.0,0.0,47.54705895645492,57.5475186365029,26516.666666666668,26362.782051282058,123.24358974358984,83.24144387807867,0.0
34,HK.MHImain,2020-07-07 02:15:00,26531.0,26500.0,26549.0,26478.0,521,13812711.0,0.0,0.0,26526.0,1,,-0.0009801703988540078,26537.067295598248,26480.53270440175,26508.8,,,,0.0,0.0,0.0,42.15985356924953,47.88964249796317,26509.0,26380.192307692312,116.98717948717953,73.40273972602482,0.0
35,HK.MHImain,2020-07-07 02:45:00,26497.0,26509.0,26512.0,26478.0,274,7260004.0,0.0,0.0,26500.0,0,-1.0,0.0003396226415093295,26528.119154910502,26482.6808450895,26505.4,,,,0.0,0.0,0.0,43.972095051231726,44.55966919231204,26499.666666666668,26392.141025641027,114.01282051282061,62.87342104276745,-0.5
36,HK.MHImain,2020-07-07 03:00:00,26509.0,26505.0,26524.0,26481.0,452,11978759.0,0.0,0.0,26509.0,0,,-0.0001508921498358795,26528.20377324687,26485.79622675313,26507.0,,,,0.0,0.0,0.0,34.41096652458596,40.18097171502239,26503.333333333332,26407.602564102566,105.91518737672567,60.25624313301723,-0.5
37,HK.MHImain,2020-07-07 09:45:00,26620.0,26359.0,26791.0,26354.0,27065,718745991.0,0.0,0.0,26505.0,0,,-0.005508394642520287,26601.85834670455,26357.74165329545,26479.8,,,,0.0,0.0,0.0,22.67114265661564,33.68473474414443,26501.333333333332,26422.512820512828,95.92110453648806,54.78148818335835,-0.5
