t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
28,HK.MHImain,2020-07-06 23:15:00,26537.0,26568.0,26591.0,26528.0,2362,62736450.0,0.0,0.0,26537.0,1,1.0,0.0011681802765950433,26588.649120911425,26426.550879088572,26507.6,,,,0.0,0.0,0.0,88.03564053595021,87.05423448431895,26562.333333333332,26210.935897435902,215.74556213017647,108.58390548195968,1.0
35,HK.MHImain,2020-07-07 02:45:00,26497.0,26509.0,26512.0,26478.0,274,7260004.0,0.0,0.0,26500.0,0,-1.0,0.0003396226415093295,26528.119154910502,26482.6808450895,26505.4,,,,0.0,0.0,0.0,43.972095051231726,44.55966919231204,26499.666666666668,26392.141025641027,114.01282051282061,62.87342104276745,-0.5
43,HK.MHImain,2020-07-07 13:30:00,26400.0,26237.0,26400.0,26202.0,6282,165235909.0,0.0,0.0,26403.0,-1,-1.0,-0.006287164337385853,26478.365939783493,26220.03406021651,26349.2,79.38300544139565,135.78188048192598,-112.79775008106066,0.0,0.0,0.0,24.376591680814926,27.426157539781666,26279.666666666668,26435.32051282052,81.14299802761245,-127.88439334460148,-1.0
53,HK.MHImain,2020-07-07 19:15:00,26002.0,26034.0,26042.0,25988.0,730,18988793.0,0.0,0.0,25998.0,0,1.0,0.0013847219016847045,26052.13693685444,25894.26306314556,25973.2,-158.61246442893753,-156.44106000127994,-4.342808855315184,0.0,0.0,0.0,28.23027028065894,18.584659893542565,26021.333333333332,26298.115384615394,193.45660749506743,-95.38126916966598,0.5
70,HK.MHImain,2020-07-08 09:45:00,26108.0,26147.0,26328.0,26092.0,19927,522255071.0,0.0,0.0,26066.0,1,1.0,0.0031074963554054147,26182.564454107396,26037.435545892604,26110.0,-20.790051183885225,-23.502478323867447,5.424854279964443,18.488823378056367,0.0,0.0,17.05423878023225,21.69670342189941,26189.0,26083.60256410256,67.24358974358984,104.49316809660489,1.0
77,HK.MHImain,2020-07-08 14:00:00,26028.0,26046.0,26089.0,25975.0,6605,171960348.0,0.0,0.0,26030.0,0,-1.0,0.0006146753745677191,26181.207659262727,25993.192340737274,26087.2,-46.891807837600936,-33.28702981860063,-27.209556038000613,27.646021780925153,0.0,0.0,39.1722099039172,45.77482138457744,26036.666666666668,26094.423076923067,48.506903353056536,-79.37895607149683,-0.5
78,HK.MHImain,2020-07-08 14:30:00,26045.0,26059.0,26065.0,25930.0,6959,180948538.0,0.0,0.0,26046.0,-1,-1.0,0.000499116946939937,26127.013331851387,26006.986668148613,26067.0,-46.99299534246529,-37.855684993222184,-18.274620698486217,27.646021780925153,0.0,0.0,37.250554323725034,40.231584134023116,26018.0,26095.974358974352,47.074950690334916,-110.42583204144307,-1.0
90,HK.MHImain,2020-07-08 21:15:00,26041.0,26087.0,26097.0,26026.0,1087,28335561.0,0.0,0.0,26042.0,0,1.0,0.0017279778818830582,26099.43997502287,26035.360024977133,26067.4,-22.20639706221118,-31.61611556699136,18.81943700956036,32.130133909360595,0.0,0.0,48.39661590524531,46.022137110813766,26070.0,26079.448717948722,37.038461538461256,-17.007038190846835,0.5
92,HK.MHImain,2020-07-08 22:15:00,26147.0,26148.0,26174.0,26129.0,1848,48332618.0,0.0,0.0,26146.0,1,1.0,7.649353629624045e-05,26182.710403639616,26014.48959636038,26098.6,16.702299872333242,-8.185561385251804,49.77572251517009,32.130133909360595,0.0,0.0,82.60437523068386,65.22474131886577,26150.333333333332,26080.923076923085,38.51282051282005,120.15090989789871,1.0
105,HK.MHImain,2020-07-09 10:45:00,26240.0,26138.0,26268.0,26085.0,11449,299615998.0,0.0,0.0,26240.0,0,-1.0,-0.003887195121951237,26378.03940667517,26119.16059332483,26248.6,61.74914035409165,86.22762024695966,-48.95695978573602,32.130133909360595,0.0,0.0,49.59509672204814,72.56666828186219,26163.666666666668,26142.666666666668,73.43589743589767,19.064245810055805,-0.5
