t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,2020-07-15 13:45:00,25423.0,25478.0,25521.0,25403.0,3992,101697663.0,0.0,0.0,25423.0,0,,,,,,,,,0.0,,0.0,,,25467.333333333332,,,,0.0
1,HK.MHImain,2020-07-15 14:00:00,25480.0,25515.0,25524.0,25459.0,2847,72577731.0,0.0,0.0,25478.0,0,,0.001452233299316985,,,,,,,,,,,,25499.333333333332,,,,
2,HK.MHImain,2020-07-15 14:15:00,25512.0,25501.0,25523.0,25467.0,2820,71904852.0,0.0,0.0,25515.0,0,,-0.0005486968449931462,,,,,,,,,,,,25497.0,,,,
3,HK.MHImain,2020-07-15 14:30:00,25503.0,25478.0,25547.0,25451.0,3516,89631820.0,0.0,0.0,25501.0,0,,-0.0009019254146895861,,,,,,,,,,,,25492.0,,,,
4,HK.MHImain,2020-07-15 14:45:00,25475.0,25435.0,25506.0,25426.0,2762,70323474.0,0.0,0.0,25478.0,0,,-0.0016877305910981688,25535.726420825016,25427.073579174987,25481.4,,,,0.0,0.0,0.0,,,25455.666666666668,,,,
5,HK.MHImain,2020-07-15 15:00:00,25435.0,25410.0,25438.0,25376.0,3143,79828396.0,0.0,0.0,25435.0,0,,-0.0009828975820719288,25547.05048895965,25388.54951104035,25467.8,,,,0.0,0.0,0.0,,,25408.0,,,,
6,HK.MHImain,2020-07-15 15:15:00,25409.0,25407.0,25439.0,25383.0,2627,66759139.0,0.0,0.0,25410.0,0,,-0.0001180637544273555,25520.96255747084,25371.43744252916,25446.2,,,,0.0,0.0,0.0,,,25409.666666666668,,,,
7,HK.MHImain,2020-07-15 15:30:00,25407.0,25453.0,25465.0,25407.0,1795,45665536.0,0.0,0.0,25407.0,0,,0.0018105246585586876,25490.0355686798,25383.164431320198,25436.6,,,,0.0,0.0,0.0,,,25441.666666666668,,,,
8,HK.MHImain,2020-07-15 15:45:00,25454.0,25451.0,25463.0,25417.0,1722,43808317.0,0.0,0.0,25453.0,0,,-7.857619926920911e-05,25470.359162396308,25392.040837603694,25431.2,,,,0.0,0.0,0.0,,,25443.666666666668,,,,
9,HK.MHImain,2020-07-15 16:00:00,25453.0,25468.0,25486.0,25440.0,1921,48928732.0,0.0,0.0,25451.0,0,,0.0006679501787749675,25487.105577782222,25388.494422217776,25437.8,,,,0.0,0.0,0.0,,,25464.666666666668,,,,
10,HK.MHImain,2020-07-15 16:15:00,25467.0,25484.0,25500.0,25446.0,2462,62717199.0,0.0,0.0,25468.0,0,,0.0006282393591958702,25504.02139632803,25401.178603671968,25452.6,,,,0.0,0.0,0.0,,,25476.666666666668,,,,
11,HK.MHImain,2020-07-15 16:30:00,25486.0,25485.0,25495.0,25450.0,1443,36756824.0,0.0,0.0,25484.0,0,,3.924030764390629e-05,25497.303951621074,25439.096048378928,25468.2,,,,0.0,0.0,0.0,,,25476.666666666668,,,,
12,HK.MHImain,2020-07-15 17:30:00,25472.0,25511.0,25523.0,25438.0,973,24799208.0,0.0,0.0,25485.0,0,,0.001020207965469977,25519.667781479,25439.932218521,25479.8,,,,0.0,0.0,0.0,72.91243982973307,62.25086525838407,25490.666666666668,,,,
13,HK.MHImain,2020-07-15 17:45:00,25513.0,25495.0,25516.0,25486.0,385,9816962.0,0.0,0.0,25511.0,0,,-0.0006271804319705199,25516.90123673119,25460.298763268805,25488.6,,,,0.0,0.0,0.0,78.84393523491269,70.66343106443358,25499.0,,,,
14,HK.MHImain,2020-07-15 18:00:00,25498.0,25492.0,25515.0,25492.0,323,8237037.0,0.0,0.0,25495.0,0,,-0.0001176701313982953,25512.856618409754,25473.94338159025,25493.4,,,,0.0,0.0,0.0,83.54875283446714,78.43504263303764,25499.666666666668,,,,
15,HK.MHImain,2020-07-15 18:15:00,25493.0,25541.0,25544.0,25487.0,674,17201000.0,0.0,0.0,25492.0,0,,0.0019221716616977247,25544.80799920445,25464.792000795547,25504.8,,,,0.0,0.0,0.0,85.53991426254201,82.64420077730728,25524.0,,,,
16,HK.MHImain,2020-07-15 18:30:00,25541.0,25544.0,25552.0,25519.0,491,12538511.0,0.0,0.0,25541.0,0,,0.00011745820445563382,25560.864658590497,25472.3353414095,25516.6,,,,0.0,0.0,0.0,89.91381196977305,86.3341596889274,25538.333333333332,,,,
17,HK.MHImain,2020-07-15 18:45:00,25541.0,25540.0,25551.0,25527.0,288,7355260.0,0.0,0.0,25544.0,0,,-0.00015659254619482255,25569.704968024005,25475.095031975998,25522.4,,,,0.0,0.0,0.0,93.78599242090087,89.74657288440532,25539.333333333332,,,,
18,HK.MHImain,2020-07-15 19:00:00,25542.0,25566.0,25583.0,25539.0,690,17640163.0,0.0,0.0,25540.0,0,,0.0010180109631949819,25585.090823875587,25488.10917612441,25536.6,,,,0.0,0.0,-1.0,90.60787345118865,91.4358926139542,25562.666666666668,,,,
19,HK.MHImain,2020-07-15 19:15:00,25569.0,25600.0,25607.0,25563.0,663,16965888.0,0.0,0.0,25566.0,0,,0.001329891261832028,25604.128640302726,25512.271359697275,25558.2,,,,0.0,0.0,0.0,91.20251148172412,91.86545911793787,25590.0,,,,
20,HK.MHImain,2020-07-15 19:30:00,25600.0,25578.0,25602.0,25567.0,415,10615855.0,0.0,0.0,25600.0,0,,-0.0008593749999999956,25609.95493208889,25521.245067911106,25565.6,,,,0.0,0.0,0.0,88.9913623070122,90.26724907997499,25582.333333333332,,,,
21,HK.MHImain,2020-07-15 19:45:00,25583.0,25617.0,25619.0,25572.0,579,14821984.0,0.0,0.0,25578.0,0,,0.0015247478301665396,25633.63257432957,25526.76742567043,25580.2,,,,0.0,0.0,0.0,92.3981551511916,90.86400964664263,25602.666666666668,,,,
22,HK.MHImain,2020-07-15 20:00:00,25617.0,25595.0,25618.0,25590.0,322,8243965.0,0.0,0.0,25617.0,0,,-0.000858804700003879,25626.60395457545,25555.79604542455,25591.2,,,,0.0,0.0,0.0,87.7182197020254,89.70257905340974,25601.0,,,,
23,HK.MHImain,2020-07-15 20:15:00,25596.0,25618.0,25633.0,25585.0,605,15496419.0,0.0,0.0,25595.0,0,,0.0008986130103536549,25631.388588421298,25571.8114115787,25601.6,,,,0.0,0.0,0.0,90.0134832723153,90.0432860418441,25612.0,,,,
24,HK.MHImain,2020-07-15 20:30:00,25617.0,25619.0,25638.0,25608.0,447,11454377.0,0.0,0.0,25618.0,0,,3.903505347802039e-05,25638.107185751025,25572.692814248978,25605.4,,,,0.0,0.0,0.0,85.19260755360676,87.64143684264916,25621.666666666668,,,,
25,HK.MHImain,2020-07-15 20:45:00,25620.0,25627.0,25640.0,25620.0,317,8124460.0,0.0,0.0,25619.0,0,,0.00031226823841690177,25636.60654105107,25593.79345894893,25615.2,,,,0.0,0.0,0.0,87.4184053546258,87.54149872684928,25629.0,25516.333333333332,55.64102564102513,134.99231950845123,
26,HK.MHImain,2020-07-15 21:00:00,25627.0,25626.0,25631.0,25605.0,432,11068480.0,0.0,0.0,25627.0,0,,-3.9021344675482794e-05,25640.15167380558,25593.84832619442,25617.0,,,,0.0,0.0,0.0,86.22260084266776,86.27787125030011,25620.666666666668,25522.230769230766,58.22287968441756,112.71158688754771,0.0
27,HK.MHImain,2020-07-15 21:15:00,25625.0,25600.0,25629.0,25597.0,553,14162204.0,0.0,0.0,25626.0,0,,-0.0010145945524077105,25637.390719429666,25598.609280570334,25618.0,,,,0.0,0.0,0.0,74.22871237819106,82.62323952516154,25608.666666666668,25526.43589743589,60.85404339250412,90.08524292614308,0.0
28,HK.MHImain,2020-07-15 21:30:00,25600.0,25610.0,25626.0,25599.0,367,9400908.0,0.0,0.0,25600.0,0,,0.0003906250000000888,25636.819598429895,25595.98040157011,25616.4,,,,0.0,0.0,0.0,64.36489050079179,74.93873457388354,25611.666666666668,25530.846153846145,62.99999999999972,85.52435219102969,0.0
29,HK.MHImain,2020-07-15 21:45:00,25609.0,25573.0,25640.0,25562.0,2012,51489451.0,0.0,0.0,25610.0,0,,-0.0014447481452557476,25646.94720115525,25567.45279884475,25607.2,,,,0.0,0.0,0.0,40.35287391451777,59.648825597833536,25591.666666666668,25534.679487179477,63.550295857988694,59.781709083396215,0.0
30,HK.MHImain,2020-07-15 22:00:00,25575.0,25541.0,25581.0,25521.0,1552,39661598.0,0.0,0.0,25573.0,0,,-0.0012513197513002172,25649.906593962525,25530.093406037475,25590.0,,,,0.0,0.0,0.0,29.9377987935603,44.88518773628994,25547.666666666668,25538.21794871794,60.466469428009354,10.417584090390392,0.0
31,HK.MHImain,2020-07-15 22:15:00,25542.0,25567.0,25583.0,25526.0,1058,27038633.0,0.0,0.0,25541.0,0,,0.0010179711052817897,25627.375603705204,25529.024396294797,25578.2,,,,0.0,0.0,0.0,23.18824965883792,31.159640788971988,25558.666666666668,25544.01282051281,55.704142011835266,17.53770979393838,0.0
