t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
54,HK.MHImain,2020-07-07 19:45:00,26035.0,26063.0,26074.0,26022.0,1205,31391239.0,0.0,0.0,26034.0,1,1.0,0.0011139279403855618,26098.055541030906,25885.544458969092,25991.8,-133.660301279946,-148.8474737608353,30.374344961778604,0.0,1.0,0.0,40.369876237892235,28.76294928184997,26053.0,26278.525641025648,194.31656804733618,-77.37396191240167,0.5
65,HK.MHImain,2020-07-08 01:15:00,26103.0,26112.0,26125.0,26092.0,434,11331187.0,0.0,0.0,26101.0,0,-1.0,0.00042143979157893696,26205.735642235602,26069.0643577644,26137.4,-18.01181584986989,-17.60383297835261,-0.8159657430345604,17.60383297835261,0.0,0.0,46.32137518684601,57.61805049846899,26109.666666666668,26122.743589743583,103.67258382642929,-8.409116852473634,0.5
134,HK.MHImain,2020-07-10 02:45:00,26000.0,26021.0,26028.0,25995.0,286,7439901.0,0.0,0.0,25997.0,1,1.0,0.0009231834442435805,26059.972795603473,25964.42720439653,26012.2,-102.9037617419599,-107.37388210794619,8.94024073197258,32.130133909360595,1.0,0.0,37.44488505504842,35.573730120075105,26014.666666666668,26132.987179487172,93.91222879684545,-83.99368526432626,0.0
138,HK.MHImain,2020-07-10 10:45:00,26083.0,25894.0,26112.0,25878.0,9640,250735899.0,0.0,0.0,26081.0,0,-1.0,-0.00716997047659218,26125.901548838006,25874.098451161994,26000.0,-106.4280334105897,-96.78817746797829,-19.279711885222838,96.78817746797829,0.0,0.0,48.335353535353526,58.027213227213224,25961.333333333332,26110.102564102555,106.10256410256414,-93.47510874818275,0.0
149,HK.MHImain,2020-07-10 17:45:00,25678.0,25748.0,25760.0,25613.0,2215,56919591.0,0.0,0.0,25688.0,1,1.0,0.0023357209592027584,25770.8917114384,25586.3082885616,25678.6,-216.14402944315952,-234.2804897956689,36.27292070501875,96.78817746797829,1.0,0.0,39.03058388646051,28.728399810247907,25707.0,25913.74358974358,142.84220907298257,-96.49042865098188,0.5
163,HK.MHImain,2020-07-11 00:45:00,25753.0,25712.0,25755.0,25693.0,1127,28993865.0,0.0,0.0,25751.0,0,-1.0,-0.0015145042910954531,25849.984454396814,25695.615545603185,25772.8,-89.4751076258508,-81.5468028774471,-15.85660949680738,96.78817746797829,0.0,0.0,45.588235294117624,56.318082788670985,25720.0,25775.807692307688,67.20315581853986,-55.36217421929634,0.5
210,HK.MHImain,2020-07-14 14:30:00,25340.0,25496.0,25523.0,25311.0,9306,236677470.0,0.0,0.0,25339.0,1,1.0,0.006195982477603668,25518.150517109472,25252.24948289053,25385.2,-265.0345300792542,-280.71921310740714,31.36936605630592,96.78817746797829,1.0,0.0,32.46867003375325,21.82341306663028,25443.333333333332,25725.230769230773,223.18540433924935,-84.20426258966512,0.5
222,HK.MHImain,2020-07-14 21:15:00,25517.0,25435.0,25528.0,25429.0,2026,51609936.0,0.0,0.0,25519.0,0,-1.0,-0.0032916650338963294,25598.55699854483,25427.44300145517,25513.0,-99.20327458709289,-97.94749015474665,-2.5115688646924923,97.94749015474665,0.0,0.0,62.53263848427955,74.55431220666699,25464.0,25547.0641025641,143.09368836291875,-38.69916906161592,0.5
283,HK.MHImain,2020-07-16 18:45:00,24974.0,24955.0,24974.0,24927.0,842,21009453.0,0.0,0.0,24970.0,1,1.0,-0.0006007208650380402,24986.023247958874,24917.176752041123,24951.6,-303.19358617919715,-308.8183539500383,11.249535541682235,97.94749015474665,1.0,0.0,30.652368185880192,24.118925731094606,24952.0,25297.24358974359,243.85207100591722,-94.386072758352,0.5
305,HK.MHImain,2020-07-17 11:45:00,25103.0,25088.0,25137.0,25062.0,5120,128517623.0,0.0,0.0,25104.0,0,-1.0,-0.0006373486297004405,25228.100911295423,25063.499088704575,25145.8,-35.47883095856014,-29.120434637791952,-12.716792641536372,97.94749015474665,0.0,0.0,39.13690476190468,59.15213795069673,25095.666666666668,25071.64102564102,65.02958579881754,24.630472146402425,0.0
376,HK.MHImain,2020-07-21 15:00:00,25502.0,25498.0,25536.0,25472.0,3746,95540779.0,0.0,0.0,25506.0,-1,-1.0,-0.00031365168979846647,25591.850436127774,25414.149563872226,25503.0,195.63301598711405,198.72836059495577,-6.190689215683449,97.94749015474665,-1.0,0.0,76.29120596743165,78.07295856845222,25502.0,25291.98717948718,143.80473372781083,97.36017958459611,-0.5
377,HK.MHImain,2020-07-21 15:30:00,25497.0,25569.0,25588.0,25485.0,4875,124548799.0,0.0,0.0,25498.0,0,1.0,0.002784532120166272,25610.419760916815,25407.980239083186,25509.2,205.35255007804153,200.93642375598435,8.832252644114362,200.93642375598435,0.0,0.0,74.90769179083757,75.37937627573803,25547.333333333332,25308.628205128207,149.36587771203196,106.54157065481571,1.0
385,HK.MHImain,2020-07-21 20:15:00,25684.0,25670.0,25689.0,25659.0,647,16608214.0,0.0,0.0,25683.0,-1,-1.0,-0.0005061713974223725,25698.093841434104,25657.506158565895,25677.8,225.9838319124283,234.1248659417124,-16.2820680585682,200.93642375598435,-1.0,0.0,89.57820082120192,93.08150880423018,25672.666666666668,25467.923076923078,137.53057199211028,99.24755239406473,-0.5
401,HK.MHImain,2020-07-22 10:15:00,25513.0,25630.0,25665.0,25484.0,12686,324714088.0,0.0,0.0,25513.0,0,1.0,0.00458589738564652,25637.76975051787,25473.83024948213,25555.8,50.52849731088645,46.4923892498843,8.072216122004306,200.93642375598435,0.0,0.0,36.08169792359781,28.26080694373174,25593.0,25595.30769230769,46.966469428007535,-3.2756593314283644,-0.5
