t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,7/15/20 13:45,25423,25478,25521,25403,3992,101697663,0,0,25423,0,,,,,,,,,0,,0,,,25467.33333,,,,0
1,HK.MHImain,7/15/20 14:00,25480,25515,25524,25459,2847,72577731,0,0,25478,0,,0.001452233,,,,,,,,,,,,25499.33333,,,,
2,HK.MHImain,7/15/20 14:15,25512,25501,25523,25467,2820,71904852,0,0,25515,0,,-0.000548697,,,,,,,,,,,,25497,,,,
3,HK.MHImain,7/15/20 14:30,25503,25478,25547,25451,3516,89631820,0,0,25501,0,,-0.000901925,,,,,,,,,,,,25492,,,,
4,HK.MHImain,7/15/20 14:45,25475,25435,25506,25426,2762,70323474,0,0,25478,0,,-0.001687731,25535.72642,25427.07358,25481.4,,,,0,0,0,,,25455.66667,,,,
5,HK.MHImain,7/15/20 15:00,25435,25410,25438,25376,3143,79828396,0,0,25435,0,,-0.000982898,25547.05049,25388.54951,25467.8,,,,0,0,0,,,25408,,,,
6,HK.MHImain,7/15/20 15:15,25409,25407,25439,25383,2627,66759139,0,0,25410,0,,-0.000118064,25520.96256,25371.43744,25446.2,,,,0,0,0,,,25409.66667,,,,
7,HK.MHImain,7/15/20 15:30,25407,25453,25465,25407,1795,45665536,0,0,25407,0,,0.001810525,25490.03557,25383.16443,25436.6,,,,0,0,0,,,25441.66667,,,,
8,HK.MHImain,7/15/20 15:45,25454,25451,25463,25417,1722,43808317,0,0,25453,0,,-7.86E-05,25470.35916,25392.04084,25431.2,,,,0,0,0,,,25443.66667,,,,
9,HK.MHImain,7/15/20 16:00,25453,25468,25486,25440,1921,48928732,0,0,25451,0,,0.00066795,25487.10558,25388.49442,25437.8,,,,0,0,0,,,25464.66667,,,,
10,HK.MHImain,7/15/20 16:15,25467,25484,25500,25446,2462,62717199,0,0,25468,0,,0.000628239,25504.0214,25401.1786,25452.6,,,,0,0,0,,,25476.66667,,,,
11,HK.MHImain,7/15/20 16:30,25486,25485,25495,25450,1443,36756824,0,0,25484,0,,3.92E-05,25497.30395,25439.09605,25468.2,,,,0,0,0,,,25476.66667,,,,
12,HK.MHImain,7/15/20 17:30,25472,25511,25523,25438,973,24799208,0,0,25485,0,,0.001020208,25519.66778,25439.93222,25479.8,,,,0,0,0,72.91243983,62.25086526,25490.66667,,,,
13,HK.MHImain,7/15/20 17:45,25513,25495,25516,25486,385,9816962,0,0,25511,0,,-0.00062718,25516.90124,25460.29876,25488.6,,,,0,0,0,78.84393523,70.66343106,25499,,,,
14,HK.MHImain,7/15/20 18:00,25498,25492,25515,25492,323,8237037,0,0,25495,0,,-0.00011767,25512.85662,25473.94338,25493.4,,,,0,0,0,83.54875283,78.43504263,25499.66667,,,,
15,HK.MHImain,7/15/20 18:15,25493,25541,25544,25487,674,17201000,0,0,25492,0,,0.001922172,25544.808,25464.792,25504.8,,,,0,0,0,85.53991426,82.64420078,25524,,,,
16,HK.MHImain,7/15/20 18:30,25541,25544,25552,25519,491,12538511,0,0,25541,0,,0.000117458,25560.86466,25472.33534,25516.6,,,,0,0,0,89.91381197,86.33415969,25538.33333,,,,
17,HK.MHImain,7/15/20 18:45,25541,25540,25551,25527,288,7355260,0,0,25544,0,,-0.000156593,25569.70497,25475.09503,25522.4,,,,0,0,0,93.78599242,89.74657288,25539.33333,,,,
18,HK.MHImain,7/15/20 19:00,25542,25566,25583,25539,690,17640163,0,0,25540,0,,0.001018011,25585.09082,25488.10918,25536.6,,,,0,0,-1,90.60787345,91.43589261,25562.66667,,,,
19,HK.MHImain,7/15/20 19:15,25569,25600,25607,25563,663,16965888,0,0,25566,0,,0.001329891,25604.12864,25512.27136,25558.2,,,,0,0,0,91.20251148,91.86545912,25590,,,,
20,HK.MHImain,7/15/20 19:30,25600,25578,25602,25567,415,10615855,0,0,25600,0,,-0.000859375,25609.95493,25521.24507,25565.6,,,,0,0,0,88.99136231,90.26724908,25582.33333,,,,
21,HK.MHImain,7/15/20 19:45,25583,25617,25619,25572,579,14821984,0,0,25578,0,,0.001524748,25633.63257,25526.76743,25580.2,,,,0,0,0,92.39815515,90.86400965,25602.66667,,,,
22,HK.MHImain,7/15/20 20:00,25617,25595,25618,25590,322,8243965,0,0,25617,0,,-0.000858805,25626.60395,25555.79605,25591.2,,,,0,0,0,87.7182197,89.70257905,25601,,,,
23,HK.MHImain,7/15/20 20:15,25596,25618,25633,25585,605,15496419,0,0,25595,0,,0.000898613,25631.38859,25571.81141,25601.6,,,,0,0,0,90.01348327,90.04328604,25612,,,,
24,HK.MHImain,7/15/20 20:30,25617,25619,25638,25608,447,11454377,0,0,25618,0,,3.90E-05,25638.10719,25572.69281,25605.4,,,,0,0,0,85.19260755,87.64143684,25621.66667,,,,
25,HK.MHImain,7/15/20 20:45,25620,25627,25640,25620,317,8124460,0,0,25619,0,,0.000312268,25636.60654,25593.79346,25615.2,,,,0,0,0,87.41840535,87.54149873,25629,25516.33333,55.64102564,134.9923195,
26,HK.MHImain,7/15/20 21:00,25627,25626,25631,25605,432,11068480,0,0,25627,0,,-3.90E-05,25640.15167,25593.84833,25617,,,,0,0,0,86.22260084,86.27787125,25620.66667,25522.23077,58.22287968,112.7115869,0
27,HK.MHImain,7/15/20 21:15,25625,25600,25629,25597,553,14162204,0,0,25626,0,,-0.001014595,25637.39072,25598.60928,25618,,,,0,0,0,74.22871238,82.62323953,25608.66667,25526.4359,60.85404339,90.08524293,0
28,HK.MHImain,7/15/20 21:30,25600,25610,25626,25599,367,9400908,0,0,25600,0,,0.000390625,25636.8196,25595.9804,25616.4,,,,0,0,0,64.3648905,74.93873457,25611.66667,25530.84615,63,85.52435219,0
29,HK.MHImain,7/15/20 21:45,25609,25573,25640,25562,2012,51489451,0,0,25610,0,,-0.001444748,25646.9472,25567.4528,25607.2,,,,0,0,0,40.35287391,59.6488256,25591.66667,25534.67949,63.55029586,59.78170908,0
30,HK.MHImain,7/15/20 22:00,25575,25541,25581,25521,1552,39661598,0,0,25573,0,,-0.00125132,25649.90659,25530.09341,25590,,,,0,0,0,29.93779879,44.88518774,25547.66667,25538.21795,60.46646943,10.41758409,0
31,HK.MHImain,7/15/20 22:15,25542,25567,25583,25526,1058,27038633,0,0,25541,0,,0.001017971,25627.3756,25529.0244,25578.2,,,,0,0,0,23.18824966,31.15964079,25558.66667,25544.01282,55.70414201,17.53770979,0
32,HK.MHImain,7/15/20 22:30,25569,25631,25632,25557,1028,26317367,0,0,25567,0,,0.002503227,25648.54484,25520.25516,25584.4,,,,0,0,0,49.29971989,34.14192278,25606.66667,25551.58974,52.08284024,70.49912899,0
33,HK.MHImain,7/15/20 22:45,25633,25647,25653,25620,813,20843886,0,0,25631,0,,0.000624244,25672.46127,25511.13873,25591.8,,,,0,0,0,75.51566081,49.33454345,25640,25559.21795,50.12426036,107.4423851,1
34,HK.MHImain,7/15/20 23:00,25649,25639,25666,25637,727,18649418,0,0,25647,0,,-0.000311927,25690.49152,25519.50848,25605,,,,0,0,0,89.75694353,71.52410808,25647.33333,25567.05128,48.20118343,111.0374553,0
35,HK.MHImain,7/15/20 23:15,25640,25598,25649,25579,1336,34210841,0,0,25639,0,,-0.001599126,25675.99329,25556.80671,25616.4,,,,0,0,0,76.64576803,80.63945745,25608.66667,25572.58974,45.01183432,53.43324131,0
36,HK.MHImain,7/15/20 23:30,25599,25569,25600,25542,1207,30855528,0,0,25598,0,,-0.001132901,25675.07384,25558.52616,25616.8,,,,0,0,0,55.86206897,74.08826017,25570.33333,25576.19231,40.85502959,-9.560592528,0
37,HK.MHImain,7/15/20 23:45,25570,25521,25582,25512,1109,28329714,0,0,25569,0,,-0.001877273,25687.75504,25501.84496,25594.8,,,,0,0,0,30.68368413,54.39717371,25538.33333,25578.5641,38.1183432,-70.36117148,0
38,HK.MHImain,7/16/20 00:00,25518,25496,25540,25494,878,22401674,0,0,25521,0,,-0.000979585,25667.66192,25461.53808,25564.6,2.310383326,38.75062262,-72.88047859,0,0,0,13.37013161,33.3052949,25510,25579.30769,37.26035503,-124.0061405,-1
39,HK.MHImain,7/16/20 00:15,25498,25497,25510,25473,940,23960956,0,0,25496,0,,3.92E-05,25617.58206,25454.81794,25536.2,-10.86666815,22.2115257,-66.15638769,0,0,0,6.480726567,16.84484744,25493.33333,25579.08974,37.51183432,-152.4077433,0
40,HK.MHImain,7/16/20 00:30,25495,25537,25545,25495,657,16766632,0,0,25497,0,,0.001568812,25578.52339,25469.47661,25524,-7.850984481,12.19068897,-40.0833469,0,0,0,15.58621521,11.81235779,25525.66667,25580.08974,36.35798817,-99.79114113,0
41,HK.MHImain,7/16/20 00:45,25536,25528,25539,25505,369,9417360,0,0,25537,0,,-0.00035243,25548.91556,25482.68444,25515.8,-8.306832089,5.35818195,-27.33002808,0,0,0,24.69775475,15.58823217,25524,25580.08974,36.35798817,-102.8471714,-1
42,HK.MHImain,7/16/20 01:00,25526,25554,25563,25519,396,10115659,0,0,25528,0,,0.00101849,25567.87703,25476.92297,25522.4,-1.217794804,3.166189699,-8.767969006,0,0,0,34.54231434,24.94209476,25545.33333,25580.35897,36.04733728,-64.77712118,0
43,HK.MHImain,7/16/20 01:15,25553,25585,25596,25533,467,11940171,0,0,25554,0,,0.001213117,25598.32263,25482.07737,25540.2,11.87933598,6.070571794,11.61752838,6.070571794,0,0,44.70089496,34.64698801,25571.33333,25581.58974,34.62721893,-19.74633554,0
44,HK.MHImain,7/16/20 01:30,25586,25597,25603,25580,254,6500080,0,0,25585,0,,0.000469025,25613.73728,25506.66272,25560.2,23.23902322,11.79338894,22.89126857,6.070571794,0,0,66.99663031,48.7466132,25593.33333,25582.76923,34.11242604,20.64565867,0
45,HK.MHImain,7/16/20 01:45,25594,25610,25628,25594,218,5583810,0,0,25597,0,,0.000507872,25634.5247,25515.0753,25574.8,33.57217772,19.0529852,29.03838504,6.070571794,0,0,82.4693586,64.72229462,25610.66667,25583.5641,34.78500986,51.94299539,0
46,HK.MHImain,7/16/20 02:00,25612,25581,25617,25573,233,5963458,0,0,25610,0,,-0.00113237,25622.76522,25548.03478,25585.4,31.40097541,23.16898193,16.46398695,6.070571794,0,0,84.48304384,77.98301092,25590.33333,25583.87179,34.9270217,12.33340863,0
47,HK.MHImain,7/16/20 02:15,25579,25603,25626,25567,317,8116224,0,0,25581,0,,0.000860013,25616.90346,25573.49654,25595.2,35.56353366,27.30049918,16.52606898,6.070571794,0,0,80.64516129,82.53252124,25598.66667,25583.71795,34.8086785,28.63025083,0
