t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,orderSlowk
50,HK.MHImain,2020-07-07 17:45:00,25958.0,25926.0,25958.0,25874.0,2126,55081095.0,0.0,0.0,25970.0,1,1.0,-0.001694262610704711,26170.37701550052,25843.22298449948,26006.8,-184.85174375824863,-116.56417521893889,-136.5751370786195,0.0,0.0,1.0,8.590486259480317,7.432958220080457,25919.333333333332,26358.000000000007,161.89743589743432,-180.6356245380688,0.0,8
58,HK.MHImain,2020-07-07 21:45:00,26060.0,26085.0,26121.0,26033.0,2351,61317229.0,0.0,0.0,26058.0,0,-1.0,0.0010361501266404893,26093.259041390957,26022.740958609043,26058.0,-81.63364084948626,-107.0149064639144,50.76253122885629,0.0,0.0,0.0,85.14170040485828,74.53590007273571,26079.666666666668,26205.96153846154,181.57396449704117,-46.370404165489695,0.5,85
229,HK.MHImain,2020-07-15 00:45:00,25644.0,25670.0,25697.0,25640.0,907,23292997.0,0.0,0.0,25643.0,-1,-1.0,0.0010529189252428406,25719.619460967264,25540.780539032738,25630.2,30.128002909375937,-7.974741174355415,76.2054881674627,97.94749015474665,0.0,-1.0,91.41205240911147,91.6856710096797,25669.0,25486.9358974359,79.52564102564108,152.62507388897757,0.0,91
231,HK.MHImain,2020-07-15 01:45:00,25671.0,25717.0,25723.0,25671.0,729,18734258.0,0.0,0.0,25669.0,0,1.0,0.0018699598737776935,25722.34264341376,25626.85735658624,25674.6,58.61690882129915,24.85713106541685,67.5195555117646,97.94749015474665,0.0,0.0,92.53420086753415,90.72308439314514,25703.666666666668,25511.76923076923,81.2149901380673,157.52218120588122,0.0,92
240,HK.MHImain,2020-07-15 12:00:00,25362.0,25363.0,25376.0,25318.0,2160,54759227.0,0.0,0.0,25364.0,1,1.0,-3.942595805073168e-05,25655.86718252488,25250.932817475124,25453.4,-135.5851888753059,-67.80006021629552,-135.57025731802077,97.94749015474665,0.0,1.0,6.546755983451244,4.789934803565722,25352.333333333332,25574.115384615383,86.8510848126232,-170.23932536212936,0.0,6
250,HK.MHImain,2020-07-15 18:45:00,25541.0,25540.0,25552.0,25519.0,779,19893771.0,0.0,0.0,25541.0,0,-1.0,-3.9152734818581614e-05,25565.04052666931,25446.55947333069,25505.8,-28.244322246842785,-54.91333933769146,53.33803418169735,97.94749015474665,0.0,0.0,89.2407003410168,80.77908544832344,25537.0,25554.512820512817,103.43786982248471,-11.287175282367654,0.5,89
254,HK.MHImain,2020-07-15 20:45:00,25617.0,25627.0,25640.0,25608.0,764,19578837.0,0.0,0.0,25618.0,-1,-1.0,0.0003513154813021835,25663.27256953204,25537.527430467962,25600.4,42.640764634554216,13.182183549378227,58.91716217035198,97.94749015474665,0.0,-1.0,95.78245277331804,96.31360887846516,25625.0,25554.807692307688,101.12623274161706,46.27372198709131,0.5,95
271,HK.MHImain,2020-07-16 11:15:00,25237.0,25183.0,25280.0,25163.0,9205,232165129.0,0.0,0.0,25237.0,0,1.0,-0.00213971549708758,25705.36649824547,25065.433501754535,25385.4,-178.2459999898383,-89.05950350788626,-178.3729929639041,97.94749015474665,0.0,0.0,11.785968118590665,27.133834380812306,25208.666666666668,25532.97435897436,71.13609467455605,-303.93168080740855,0.0,11
280,HK.MHImain,2020-07-16 16:30:00,24963.0,24920.0,24980.0,24886.0,5684,141709105.0,0.0,0.0,24963.0,1,1.0,-0.0017225493730721464,25138.017962863352,24870.78203713665,25004.4,-333.800168571368,-301.1346589924904,-65.33101915775512,97.94749015474665,0.0,1.0,8.917884441256868,7.869532746891278,24928.666666666668,25371.615384615383,224.674556213018,-131.43417317765386,0.0,8
290,HK.MHImain,2020-07-16 22:15:00,25054.0,25068.0,25097.0,25032.0,2933,73516412.0,0.0,0.0,25054.0,0,-1.0,0.0005587930071047076,25085.4017390959,24993.3982609041,25039.4,-153.8067333241852,-191.83417814632494,76.05488964427951,97.94749015474665,0.0,0.0,86.55116841257045,82.91330169815257,25065.666666666668,25151.602564102563,170.50591715976282,-33.60035783210715,0.5,86
